lambda1,lambda2,lambda3,lambda4,lambda5,m12_squared,tan_beta,width_hgaga,total_width_h2,branching_ratio_hgaga
0.01,0.01,0.01,0.01,0.01,-300,0.01,8.17203e-08,-nan,0
0.01,0.01,0.01,0.01,0.01,-280,0.01,8.1715e-08,-nan,0
0.01,0.01,0.01,0.01,0.01,-260,0.01,8.17088e-08,-nan,0
0.01,0.01,0.01,0.01,0.01,-240,0.01,8.17017e-08,-nan,0
0.01,0.01,0.01,0.01,0.01,-220,0.01,8.16933e-08,-nan,0
0.01,0.01,0.01,0.01,0.01,-200,0.01,8.16833e-08,-nan,0
0.01,0.01,0.01,0.01,0.01,-180,0.01,8.16711e-08,-nan,0
0.01,0.01,0.01,0.01,0.01,-160,0.01,8.1656e-08,-nan,0
0.01,0.01,0.01,0.01,0.01,-140,0.01,8.16366e-08,-nan,0
0.01,0.01,0.01,0.01,0.01,-120,0.01,8.16112e-08,-nan,0
0.01,0.01,0.01,0.01,0.01,-100,0.01,8.1576e-08,-nan,0
0.01,0.01,0.01,0.01,0.01,-80,0.01,8.15243e-08,-nan,0
0.01,0.01,0.01,0.01,0.01,-60,0.01,8.1441e-08,-nan,0
0.01,0.01,0.01,0.01,0.01,-40,0.01,8.1284e-08,-nan,0
0.01,0.01,0.01,0.01,0.01,-20,0.01,8.08784e-08,-nan,0
0.01,0.01,0.01,0.01,0.01,0,0.01,7.73828e-08,-nan,0
0.01,0.01,0.01,0.01,0.01,20,0.01,3.92053e-11,5.39031e-08,0.000727329
0.01,0.01,0.01,0.01,0.01,40,0.01,1.96098e-11,1.45971e-06,1.3434e-05
0.01,0.01,0.01,0.01,0.01,60,0.01,1.48495e-11,1.70364e-06,8.71636e-06
0.01,0.01,0.01,0.01,0.01,80,0.01,1.26839e-11,1.70672e-06,7.43171e-06
0.01,0.01,0.01,0.01,0.01,100,0.01,1.14819e-11,1.65266e-06,6.94756e-06
0.01,0.01,0.01,0.01,0.01,120,0.01,1.07698e-11,1.58619e-06,6.78969e-06
0.01,0.01,0.01,0.01,0.01,140,0.01,1.03624e-11,1.52025e-06,6.81628e-06
0.01,0.01,0.01,0.01,0.01,160,0.01,1.01808e-11,1.4587e-06,6.97935e-06
0.01,0.01,0.01,0.01,0.01,180,0.01,1.01992e-11,1.40252e-06,7.27209e-06
0.01,0.01,0.01,0.01,0.01,200,0.01,1.04353e-11,1.35172e-06,7.72003e-06
0.01,0.01,0.01,0.01,0.01,220,0.01,1.09731e-11,1.30617e-06,8.40096e-06
0.01,0.01,0.01,0.01,0.01,240,0.01,1.21012e-11,1.2666e-06,9.55407e-06
0.01,0.01,0.01,0.01,0.01,260,0.01,1.67163e-11,1.24542e-06,1.34222e-05
0.01,0.01,0.01,0.01,0.01,280,0.01,1.5521e-11,1.24141e-06,1.25027e-05
0.01,0.01,0.01,0.01,0.01,300,0.01,1.43965e-11,1.22463e-06,1.17558e-05
