lambda1,lambda2,lambda3,lambda4,lambda5,m12_squared,beta,tan_beta,positivity_ok,unitarity_ok,perturbativity_ok,width_h2_bb,width_h2_tautau,width_h2_WW,width_h2_ZZ,width_hgaga,total_width_h2,branching_ratio_hgaga
10.000000,0.000000,29.734518,-10.265482,-10.000000,0.000000,0.020000,0.020003,true,false,false,0.000000,0.000000,142.602371,69.906406,0.000207,-nan,0.000000
10.000000,0.000000,29.734518,-10.265482,-10.000000,0.000000,0.040000,0.040021,true,false,false,0.000000,0.000000,142.573755,69.892214,0.000207,-nan,0.000000
10.000000,0.000000,29.734518,-10.265482,-10.000000,0.000000,0.060000,0.060072,true,false,false,0.000000,0.000000,142.524894,69.867982,0.000207,-nan,0.000000
10.000000,0.000000,29.734518,-10.265482,-10.000000,0.000000,0.080000,0.080171,true,false,false,0.000000,0.000000,142.454054,69.832851,0.000207,-nan,0.000000
10.000000,0.000000,29.734518,-10.265482,-10.000000,0.000000,0.100000,0.100335,true,false,false,0.000000,0.000000,142.358838,69.785632,0.000207,-nan,0.000000
10.000000,0.000000,29.734518,-10.265482,-10.000000,0.020000,0.020000,0.020003,true,false,false,0.000000,0.000000,142.602371,69.906406,0.000207,-nan,0.000000
10.000000,0.000000,29.734518,-10.265482,-10.000000,0.020000,0.040000,0.040021,true,false,false,0.000000,0.000000,142.573755,69.892214,0.000207,-nan,0.000000
10.000000,0.000000,29.734518,-10.265482,-10.000000,0.020000,0.060000,0.060072,true,false,false,0.000000,0.000000,142.524894,69.867982,0.000207,-nan,0.000000
10.000000,0.000000,29.734518,-10.265482,-10.000000,0.020000,0.080000,0.080171,true,false,false,0.000000,0.000000,142.454054,69.832851,0.000207,-nan,0.000000
10.000000,0.000000,29.734518,-10.265482,-10.000000,0.020000,0.100000,0.100335,true,false,false,0.000000,0.000000,142.358838,69.785632,0.000207,-nan,0.000000
10.000000,0.000000,29.734518,-10.265482,-10.000000,0.040000,0.020000,0.020003,true,false,false,0.000000,0.000000,142.602371,69.906406,0.000207,-nan,0.000000
10.000000,0.000000,29.734518,-10.265482,-10.000000,0.040000,0.040000,0.040021,true,false,false,0.000000,0.000000,142.573755,69.892214,0.000207,-nan,0.000000
