mass_region,rejection_stage,rejection_reason,count
R150_anchor,accepted,none,77
R150_anchor,perturbativity,check_perturbativity_false,127
R150_anchor,positivity,check_positivity_false,4428
R150_anchor,unitarity,check_unitarity_false,1488
R200_below_hh,accepted,none,62
R200_below_hh,perturbativity,check_perturbativity_false,100
R200_below_hh,positivity,check_positivity_false,4319
R200_below_hh,unitarity,check_unitarity_false,1639
R250_near_hh_threshold,accepted,none,69
R250_near_hh_threshold,perturbativity,check_perturbativity_false,81
R250_near_hh_threshold,positivity,check_positivity_false,4201
R250_near_hh_threshold,unitarity,check_unitarity_false,1769
R300_above_hh,perturbativity,check_perturbativity_false,48
R300_above_hh,positivity,check_positivity_false,4320
R300_above_hh,unitarity,check_unitarity_false,1752
R350_near_tt_threshold,perturbativity,check_perturbativity_false,44
R350_near_tt_threshold,positivity,check_positivity_false,4311
R350_near_tt_threshold,unitarity,check_unitarity_false,1765
R400_above_tt,perturbativity,check_perturbativity_false,36
R400_above_tt,positivity,check_positivity_false,4200
R400_above_tt,unitarity,check_unitarity_false,1884
R500,perturbativity,check_perturbativity_false,12
R500,positivity,check_positivity_false,4200
R500,unitarity,check_unitarity_false,1908
R600,positivity,check_positivity_false,4200
R600,unitarity,check_unitarity_false,1920
R800_near2000,positivity,check_positivity_false,4324
R800_near2000,unitarity,check_unitarity_false,1796
