mass_region,old_point_id,new_point_id,changed
R150_anchor,point_e1d6c530d8cd9662,point_b9fc4588e0c8cf1d,True
R150_anchor,point_64ed6c770b4d1532,point_a95441d1b152a47d,True
R150_anchor,point_0e51641965b6c906,point_e8b7ce7612f33f15,True
R150_anchor,point_8fd53f6e18e1d68d,point_dc82aac7a10aec3a,True
R150_anchor,point_f999def9d725cc41,point_178edb211606d46a,True
R150_anchor,point_2d5805b3f33ee136,point_312232762f79b50d,True
R150_anchor,point_59f69187b3072323,point_81ba94519b3ba5aa,True
R150_anchor,point_e73df58f1c260a52,point_98cf22cd4f42d369,True
R150_anchor,point_ddc69ede3eed1b36,point_33fdbfe2a0cc1b21,True
R150_anchor,point_1db32f912fad3fb9,point_9b7fa7675b1c32ba,True
R150_anchor,point_b253316330cd7f4d,point_370e28d76916936a,True
R150_anchor,point_54aeae24488312a6,point_bf00229946451e39,True
R150_anchor,point_db2d5dff03998f1b,point_a139e207ee4b64aa,True
R150_anchor,point_dcefa28a9987ccc0,point_04c01590abdbb8a1,True
R150_anchor,point_43a7b378e4ae524d,point_508cf1664dc89678,True
R150_anchor,point_2f99acf7f0b23641,point_47e1a9021ad18ab0,True
R150_anchor,point_27c2552d359eff68,point_74738511fb7600b5,True
R150_anchor,point_fc1def0c8ab0b0dc,point_f02a2eee44730cc5,True
R150_anchor,point_6d171d0c1e0b16d1,point_d561cbeb99ae12e8,True
R150_anchor,point_40ec63be6285b102,point_0ddb50aaffa37085,True
R150_anchor,point_3c8b687e48cbf473,point_11b6bfbee65a2b30,True
R150_anchor,point_f3a39760eb0e0376,point_a4fff7e3b3bac411,True
R150_anchor,point_18056e69fbea3dca,point_d34fa68c3766aa69,True
R150_anchor,point_6c2842f8d4db7821,point_722d813d46cd5e1e,True
R150_anchor,point_9fc9e863b5405b55,point_ca35b21d49bf708e,True
R150_anchor,point_76bca93adc5e7b3a,point_0d753600eb7356a1,True
R150_anchor,point_dc09669cdfdc54ef,point_34616b4dcef441ce,True
R150_anchor,point_933232947b3ba870,point_a411fc3a427647e9,True
R150_anchor,point_38f0c85db4d182b8,point_4432578c0247d14b,True
R150_anchor,point_2302212259f4e1db,point_b4646db1d55ad210,True
R150_anchor,point_6854771df65beb18,point_1f341d87509fa01f,True
R150_anchor,point_14ebb59f32a2fb98,point_34a2f80d76e003eb,True
R150_anchor,point_41519332d35f95e7,point_c52a32a4bfb2ad74,True
R150_anchor,point_15ab4960e12978a8,point_92f639faf41f4405,True
R150_anchor,point_9e61fa485d025e4f,point_b327bbd459488162,True
R150_anchor,point_873152b48c3822ee,point_3c4a2b16f79a0393,True
R150_anchor,point_cb686aa7acd1b21b,point_1c7bc803f8503612,True
R150_anchor,point_577820411992bb9b,point_b4289cedb4b07f9e,True
R150_anchor,point_0cbe984135d94cda,point_e27c841f5895e9f7,True
R150_anchor,point_a3a08a6977266acb,point_ae8997e08fd26aac,True
R150_anchor,point_0328a9e511216662,point_2e0d1587e9804399,True
R150_anchor,point_adf3f987f465eb47,point_87e379f695b2c460,True
R150_anchor,point_093be2839fd7cb88,point_a61ec3cdbde46a4b,True
R150_anchor,point_b5d32104dc1edc08,point_bbf879e1644667d7,True
R150_anchor,point_77c2d23f82201f73,point_d4bc98f43438b114,True
R150_anchor,point_9104e3c676d50258,point_40eb2a1f8dda377d,True
R150_anchor,point_1f304eea53977a7b,point_5e672c61c1093bee,True
R150_anchor,point_bda0399c21e4a707,point_9f21d8d4c62ada90,True
R150_anchor,point_8a71a08304ec732f,point_8fc0b45dd3f86814,True
R150_anchor,point_46941f0cfa36abbc,point_789c8fdca6aa2cd3,True
R150_anchor,point_f32b5d8e367dbc3c,point_d409ffc8009f6d3f,True
R150_anchor,point_ef4b70ec76296c7b,point_a89c28dfdd676b98,True
R150_anchor,point_51eea6f30503cd0c,point_a322f6247bb65a31,True
R150_anchor,point_ea75a751be5b50e1,point_59a3c2a60cfcb53a,True
R150_anchor,point_324a246770a9a794,point_4410d89506ecd56f,True
R150_anchor,point_3ab8f16f614a005b,point_c87417f1384e5ef4,True
R150_anchor,point_9508c7f5befc4a9f,point_1b898412dd12514c,True
R150_anchor,point_dd759f2bfb4802b8,point_8b9da09bb4c5f3ab,True
R150_anchor,point_660650c51d05c509,point_ea7e0650bbfd22dc,True
R150_anchor,point_2982dfabe7046ee6,point_6ee5665e22eca603,True
R150_anchor,point_c4187b1ded909534,point_4334cff72aaa0f9b,True
R150_anchor,point_c5aac9d4fbbb09c7,point_d8067e40acd46294,True
R150_anchor,point_1bf36e3c2c4114cb,point_bca8790bbbba536c,True
R150_anchor,point_80e4409937561c28,point_617b600bdd9bb797,True
R150_anchor,point_3659f0bd5f472541,point_a32446f8b12edafc,True
R150_anchor,point_8383cff0edb123c2,point_3f856a038b90a20f,True
R150_anchor,point_09725fe1a2ca5338,point_c1fe037fda17a3a3,True
R150_anchor,point_a22870d00c4191af,point_abe60e2c56031d18,True
R150_anchor,point_ee713a4b1506d753,point_2bf939793665b310,True
R150_anchor,point_c3566c175a459adc,point_798ce5f279f4bcff,True
R150_anchor,point_adfe3018b73976b5,point_1badeace7af2bee0,True
R150_anchor,point_27f3c59801daf66e,point_14bea51049248677,True
R150_anchor,point_b183e1a97fc5ed92,point_0bcbfd8284eaa1ef,True
R150_anchor,point_d6d3c186d4e001bb,point_af31000f43cf42de,True
R150_anchor,point_5fecda84e3f738d0,point_535b3f852ae1789f,True
