schema_version,producer,producer_commit,producer_dirty,evaluator_api,campaign_id,run_id,point_id,yukawa_type,yukawa_type_installed,mh_input_GeV,mH_input_GeV,mA_input_GeV,mHp_input_GeV,sin_beta_minus_alpha_input,tan_beta_input,beta_input_rad,M2_input_GeV2,m12_sq_input_GeV2,lambda6_input,lambda7_input,lambda1_reconstructed,lambda2_reconstructed,lambda3_reconstructed,lambda4_reconstructed,lambda5_reconstructed,lambda6_reconstructed,lambda7_reconstructed,tan_beta_reconstructed,m12_sq_reconstructed_GeV2,M2_reconstructed_GeV2,construction_ok,numerical_ok,rejection_stage,rejection_reason,positivity_reported_ok,unitarity_ok,perturbativity_ok,stability_reported_ok,stability_dependency_alias,triple_ok_legacy,theory_ok_v1,experimental_evaluated,experimental_ok,two_hdmc_hphiphi_real_GeV,two_hdmc_hphiphi_imag_GeV,g_physical_hphiphi_GeV,g_physical_hphiphi_abs_GeV,g_hH2H2_GeV,width_bb_GeV,width_cc_GeV,width_tt_GeV,width_tautau_GeV,width_WW_GeV,width_ZZ_GeV,width_gammagamma_GeV,width_Zgamma_GeV,width_gg_GeV,width_hh_GeV,total_width_GeV,width_unaccounted_GeV,br_bb,br_cc,br_tt,br_tautau,br_WW,br_ZZ,br_gammagamma,br_Zgamma,br_gg,br_hh,width_ok,ctau_mm
dihiggs.point.v2,DihiggsPointV2Evaluator,20f4470a0b532c3379153cd49ddddc3642f7bf98,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,known_seed_low_mass,point_cbb497bf2ff798d5,1,1.00000000000000000e+00,1.25129999999999995e+02,1.30000000000000000e+02,3.00000000000000000e+02,3.00000000000000000e+02,9.98999999999999999e-01,5.00000000000000000e+01,1.55079899282174605e+00,1.67216815446837099e+04,3.34299910929303167e+02,1.00000000000000006e-01,0.00000000000000000e+00,1.00820077853277290e-01,2.58276070518430323e-01,2.71760899016182522e+00,-1.20972313165073175e+00,-1.20972313165073198e+00,1.00000000000000006e-01,0.00000000000000000e+00,4.99999999999999005e+01,3.34299910929302541e+02,1.67216815446836808e+04,1,1.00000000000000000e+00,accepted,none,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,-7.30433967176254555e+01,7.30433967176254555e+01,7.30433967176254555e+01,7.30433967176254555e+01,1.68923454963338999e-06,7.57688717259754917e-08,0.00000000000000000e+00,1.64557991401996388e-07,2.86635725874939584e-06,3.82673275504883934e-07,2.37808359899980831e-08,1.88711215653217959e-08,2.18489920852363346e-07,0.00000000000000000e+00,5.44093329247645681e-06,1.19946705313094530e-09,3.10467792716592916e-01,1.39257123094573120e-02,0.00000000000000000e+00,3.02444420021730012e-02,5.26813527141180016e-01,7.03322858293506242e-02,4.37072735717628467e-03,3.46836113418559286e-03,4.01566990638323046e-02,0.00000000000000000e+00,1.00000000000000000e+00,3.62671199576839627e-08
dihiggs.point.v2,DihiggsPointV2Evaluator,20f4470a0b532c3379153cd49ddddc3642f7bf98,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,known_seed_llp,point_4b4a19a1f24c3517,1,1.00000000000000000e+00,1.25129999999999995e+02,2.00000000000000000e+02,5.00000000000000000e+02,5.00000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+04,1.57069632679522986e+00,3.99999995713761018e+04,3.99999991714139513e+00,1.00000000000000004e-10,0.00000000000000000e+00,9.65282173383941511e-01,2.58270157669935219e-01,7.18615451026975993e+00,-3.46394217983486463e+00,-3.46394217983486463e+00,1.00000000000000004e-10,0.00000000000000000e+00,9.99999999999053944e+03,3.99999990804266359e+00,3.99999994803887894e+04,1,1.00000000000000000e+00,accepted,none,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,-6.35914286778763653e+01,6.35914286778763653e+01,6.35914286778763653e+01,6.35914286778763653e+01,3.92309077037458490e-11,1.75213231424297158e-12,0.00000000000000000e+00,4.14221289487724465e-12,0.00000000000000000e+00,0.00000000000000000e+00,2.88348115773086119e-14,4.44458618598753375e-15,1.28927420729215300e-11,0.00000000000000000e+00,5.80801814246648160e-11,2.89070411139278941e-14,6.75461176970182819e-01,3.01674731597669638e-02,0.00000000000000000e+00,7.13188697636915059e-02,0.00000000000000000e+00,0.00000000000000000e+00,4.96465590671577701e-04,7.65250052077154607e-05,2.21981780302194287e-01,0.00000000000000000e+00,1.00000000000000000e+00,3.39749249330342958e-03
dihiggs.point.v2,DihiggsPointV2Evaluator,20f4470a0b532c3379153cd49ddddc3642f7bf98,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,seed_low_mass_neighborhood,point_66b7a78136cba8c9,1,nan,1.25129999999999995e+02,1.25000000000000000e+02,3.00000000000000000e+02,3.00000000000000000e+02,9.98999999999999999e-01,5.00000000000000000e+01,1.55079899282174605e+00,1.60000000000000000e+04,3.19872051179528796e+02,1.00000000000000006e-01,0.00000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,construction,mh_gt_mH,nan,nan,nan,nan,2HDMC-patched:check_stability==check_positivity,nan,nan,0.00000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
dihiggs.point.v2,DihiggsPointV2Evaluator,20f4470a0b532c3379153cd49ddddc3642f7bf98,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,seed_low_mass_neighborhood,point_113c7d24e2d89abd,1,nan,1.25129999999999995e+02,1.25000000000000000e+02,3.00000000000000000e+02,3.00000000000000000e+02,9.98999999999999999e-01,5.00000000000000000e+01,1.55079899282174605e+00,1.67500000000000000e+04,3.34866053578569222e+02,1.00000000000000006e-01,0.00000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,construction,mh_gt_mH,nan,nan,nan,nan,2HDMC-patched:check_stability==check_positivity,nan,nan,0.00000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
dihiggs.point.v2,DihiggsPointV2Evaluator,20f4470a0b532c3379153cd49ddddc3642f7bf98,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,seed_low_mass_neighborhood,point_bfb9fae8bc03401b,1,nan,1.25129999999999995e+02,1.25000000000000000e+02,3.00000000000000000e+02,3.00000000000000000e+02,9.98999999999999999e-01,5.00000000000000000e+01,1.55079899282174605e+00,1.75000000000000000e+04,3.49860055977609647e+02,1.00000000000000006e-01,0.00000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,construction,mh_gt_mH,nan,nan,nan,nan,2HDMC-patched:check_stability==check_positivity,nan,nan,0.00000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
dihiggs.point.v2,DihiggsPointV2Evaluator,20f4470a0b532c3379153cd49ddddc3642f7bf98,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,seed_low_mass_neighborhood,point_0629713e2ac0e6eb,1,1.00000000000000000e+00,1.25129999999999995e+02,1.42500000000000000e+02,3.00000000000000000e+02,3.00000000000000000e+02,9.98999999999999999e-01,5.00000000000000000e+01,1.55079899282174605e+00,1.60000000000000000e+04,3.19872051179528796e+02,1.00000000000000006e-01,0.00000000000000000e+00,1.70296292700251968e+02,2.58315194471286314e-01,2.79898019765686845e+00,-1.22162724183137916e+00,-1.22162724183137938e+00,1.00000000000000006e-01,0.00000000000000000e+00,4.99999999999999005e+01,3.19872051179526636e+02,1.59999999999998909e+04,1,1.00000000000000000e+00,unitarity,check_unitarity_false,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,-2.50803057480549398e+01,2.50803057480549398e+01,2.50803057480549398e+01,2.50803057480549398e+01,1.82146430062757088e-06,8.15984633291399427e-08,0.00000000000000000e+00,1.80414817136895310e-07,1.01346399602883449e-05,1.39442956342463279e-06,9.52208286209571604e-10,1.42745108018963877e-08,2.86421065740540145e-07,0.00000000000000000e+00,1.39154976786673301e-05,1.30278903210016383e-09,1.30894657358888666e-01,5.86385519320890922e-03,0.00000000000000000e+00,1.29650280071171280e-02,7.28298778406244351e-01,1.00206948800854928e-01,6.84279001870929449e-05,1.02579951730935441e-03,2.05828833689238426e-02,0.00000000000000000e+00,1.00000000000000000e+00,1.41803753596614282e-08
dihiggs.point.v2,DihiggsPointV2Evaluator,20f4470a0b532c3379153cd49ddddc3642f7bf98,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,seed_low_mass_neighborhood,point_50f07872ad49669b,1,1.00000000000000000e+00,1.25129999999999995e+02,1.42500000000000000e+02,3.00000000000000000e+02,3.00000000000000000e+02,9.98999999999999999e-01,5.00000000000000000e+01,1.55079899282174605e+00,1.67500000000000000e+04,3.34866053578569222e+02,1.00000000000000006e-01,0.00000000000000000e+00,1.39368237586281339e+02,2.58310245982468101e-01,2.78660897561127996e+00,-1.20925601978579089e+00,-1.20925601978579089e+00,1.00000000000000006e-01,0.00000000000000000e+00,4.99999999999999005e+01,3.34866053578570472e+02,1.67500000000000618e+04,1,1.00000000000000000e+00,unitarity,check_unitarity_false,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,-3.94102166301591410e+01,3.94102166301591410e+01,3.94102166301591410e+01,3.94102166301591410e+01,1.82146430062757088e-06,8.15984633291399427e-08,0.00000000000000000e+00,1.80414817136895310e-07,1.01346399602883449e-05,1.39442956342463279e-06,9.41335241407776431e-11,1.88364606998443117e-08,2.86421065740540145e-07,0.00000000000000000e+00,1.39192015538032105e-05,1.30278903210016383e-09,1.30859826519997724e-01,5.86229483162016562e-03,0.00000000000000000e+00,1.29615780358895444e-02,7.28104979377872996e-01,1.00180283907421841e-01,6.76285372957022030e-06,1.35327163896822324e-03,2.05774062997370680e-02,0.00000000000000000e+00,1.00000000000000000e+00,1.41766019866335941e-08
dihiggs.point.v2,DihiggsPointV2Evaluator,20f4470a0b532c3379153cd49ddddc3642f7bf98,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,seed_low_mass_neighborhood,point_49fce8714804d3c5,1,1.00000000000000000e+00,1.25129999999999995e+02,1.42500000000000000e+02,3.00000000000000000e+02,3.00000000000000000e+02,9.98999999999999999e-01,5.00000000000000000e+01,1.55079899282174605e+00,1.75000000000000000e+04,3.49860055977609647e+02,1.00000000000000006e-01,0.00000000000000000e+00,1.08440182472310681e+02,2.58305297493649888e-01,2.77423775356569191e+00,-1.19688479774020262e+00,-1.19688479774020262e+00,1.00000000000000006e-01,0.00000000000000000e+00,4.99999999999999005e+01,3.49860055977705315e+02,1.75000000000047839e+04,1,1.00000000000000000e+00,unitarity,check_unitarity_false,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,-5.37401275122635980e+01,5.37401275122635980e+01,5.37401275122635980e+01,5.37401275122635980e+01,1.82146430062757088e-06,8.15984633291399427e-08,0.00000000000000000e+00,1.80414817136895310e-07,1.01346399602883449e-05,1.39442956342463279e-06,2.52292655196810114e-09,2.40299568575397193e-08,2.86421065740540145e-07,0.00000000000000000e+00,1.39268238429887306e-05,1.30278903209846977e-09,1.30788205635598842e-01,5.85908633936082796e-03,0.00000000000000000e+00,1.29544840353332021e-02,7.27706480281969714e-01,1.00125454241789619e-01,1.81155917559640419e-04,1.72544415930393725e-03,2.05661440806357947e-02,0.00000000000000000e+00,1.00000000000000000e+00,1.41688429913861205e-08
dihiggs.point.v2,DihiggsPointV2Evaluator,20f4470a0b532c3379153cd49ddddc3642f7bf98,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,seed_low_mass_neighborhood,point_aff418787cb65d58,1,1.00000000000000000e+00,1.25129999999999995e+02,1.60000000000000000e+02,3.00000000000000000e+02,3.00000000000000000e+02,9.98999999999999999e-01,5.00000000000000000e+01,1.55079899282174605e+00,1.60000000000000000e+04,3.19872051179528796e+02,1.00000000000000006e-01,0.00000000000000000e+00,3.88550626651905986e+02,2.58368597912643827e-01,2.90694098926291078e+00,-1.22162724183137916e+00,-1.22162724183137938e+00,1.00000000000000006e-01,0.00000000000000000e+00,4.99999999999999005e+01,3.19872051179526636e+02,1.59999999999998909e+04,1,1.00000000000000000e+00,unitarity,check_unitarity_false,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,2.80308650105775143e+01,-2.80308650105775143e+01,2.80308650105775143e+01,2.80308650105775143e+01,2.00338152427502149e-06,8.96334107850519972e-08,0.00000000000000000e+00,2.02610125121604169e-07,1.40366920359767704e-04,6.73749403175704451e-06,9.55319127446078934e-08,1.17731573766486230e-08,4.04987294696988796e-07,0.00000000000000000e+00,1.49913778235257676e-04,1.44641873302329797e-09,1.33635583590665154e-02,5.97899751711890586e-04,0.00000000000000000e+00,1.35151103191896629e-03,9.36317675480713874e-01,4.49424603333256414e-02,6.37245714631319224e-04,7.85328574547241800e-05,2.70146813364577918e-03,0.00000000000000000e+00,1.00000000000000000e+00,1.31626981003932419e-09
dihiggs.point.v2,DihiggsPointV2Evaluator,20f4470a0b532c3379153cd49ddddc3642f7bf98,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,seed_low_mass_neighborhood,point_38a2cd0cffe5d6e8,1,1.00000000000000000e+00,1.25129999999999995e+02,1.60000000000000000e+02,3.00000000000000000e+02,3.00000000000000000e+02,9.98999999999999999e-01,5.00000000000000000e+01,1.55079899282174605e+00,1.67500000000000000e+04,3.34866053578569222e+02,1.00000000000000006e-01,0.00000000000000000e+00,3.57622571537935471e+02,2.58363649423825559e-01,2.89456976721732229e+00,-1.20925601978579089e+00,-1.20925601978579089e+00,1.00000000000000006e-01,0.00000000000000000e+00,4.99999999999999005e+01,3.34866053578570472e+02,1.67500000000000618e+04,1,1.00000000000000000e+00,unitarity,check_unitarity_false,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,1.37009541284733132e+01,-1.37009541284733132e+01,1.37009541284733132e+01,1.37009541284733132e+01,2.00338152427502149e-06,8.96334107850519972e-08,0.00000000000000000e+00,2.02610125121604169e-07,1.40366920359767704e-04,6.73749403175704451e-06,6.78350069835211962e-08,1.81067860689925401e-08,4.04987294696988796e-07,0.00000000000000000e+00,1.49892414958188925e-04,1.44641873299619292e-09,1.33654629877959195e-02,5.97984966818063406e-04,0.00000000000000000e+00,1.35170365477212681e-03,9.36451123286803577e-01,4.49488657156961874e-02,4.52557969677405832e-04,1.20798547905464438e-04,2.70185315787964441e-03,0.00000000000000000e+00,1.00000000000000000e+00,1.31645741017010438e-09
