schema_version,producer,producer_commit,producer_dirty,evaluator_api,campaign_id,run_id,point_id,yukawa_type,yukawa_type_installed,mh_input_GeV,mH_input_GeV,mA_input_GeV,mHp_input_GeV,sin_beta_minus_alpha_input,tan_beta_input,beta_input_rad,M2_input_GeV2,m12_sq_input_GeV2,lambda6_input,lambda7_input,lambda1_reconstructed,lambda2_reconstructed,lambda3_reconstructed,lambda4_reconstructed,lambda5_reconstructed,lambda6_reconstructed,lambda7_reconstructed,tan_beta_reconstructed,m12_sq_reconstructed_GeV2,M2_reconstructed_GeV2,construction_ok,numerical_ok,rejection_stage,rejection_reason,positivity_reported_ok,unitarity_ok,perturbativity_ok,stability_reported_ok,stability_dependency_alias,triple_ok_legacy,theory_ok_v1,experimental_evaluated,experimental_ok,two_hdmc_hphiphi_real_GeV,two_hdmc_hphiphi_imag_GeV,g_physical_hphiphi_GeV,g_physical_hphiphi_abs_GeV,g_hH2H2_GeV,width_bb_GeV,width_cc_GeV,width_tt_GeV,width_tautau_GeV,width_WW_GeV,width_ZZ_GeV,width_gammagamma_GeV,width_Zgamma_GeV,width_gg_GeV,width_hh_GeV,total_width_GeV,width_unaccounted_GeV,br_bb,br_cc,br_tt,br_tautau,br_WW,br_ZZ,br_gammagamma,br_Zgamma,br_gg,br_hh,width_ok,ctau_mm
dihiggs.point.v2,DihiggsPointV2Evaluator,c4fc29fc3593d4a537089e22e43504bfb9ed4a87,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_high_tanbeta,point_23025d0735f20fcc,1,1.00000000000000000e+00,1.25129999999999995e+02,1.60000000000000000e+02,4.00000000000000000e+02,6.50000000000000000e+02,9.97999999999999998e-01,3.00000000000000000e+03,1.57046299347390894e+00,1.00000000000000000e+04,3.33333296296323089e+00,5.00000000000000010e-03,-2.00000000000000004e-03,-2.46899655236457437e+07,2.58919636134100406e-01,4.76498148749014803e+01,-8.13410067436300821e+00,5.25754757548801965e-01,5.00000000000000010e-03,-2.00000000000000004e-03,2.99999999999979582e+03,3.33333296657633626e+00,1.00000000108393178e+04,1,1.00000000000000000e+00,positivity,check_positivity_false,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,-3.90478318610427203e+05,3.90478318610427203e+05,3.90478318610427203e+05,3.90478318610427203e+05,1.29524403170622818e-05,5.79505895178024744e-07,0.00000000000000000e+00,1.30993299153029332e-06,2.80593403580609892e-04,1.34682471990502738e-05,1.78741418527066931e-02,5.13695969224147071e-03,2.61835985815508248e-06,0.00000000000000000e+00,2.33226327863047152e-02,9.35151496517239167e-09,5.55359269930626631e-04,2.48473618089256383e-05,0.00000000000000000e+00,5.61657426729069459e-05,1.20309489135110494e-02,5.77475421512401626e-04,7.66386111571527584e-01,2.20256423848423533e-01,1.12266907520518422e-04,0.00000000000000000e+00,1.00000000000000000e+00,8.46075064543623882e-12
dihiggs.point.v2,DihiggsPointV2Evaluator,c4fc29fc3593d4a537089e22e43504bfb9ed4a87,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_high_tanbeta,point_b99b95b1df4755b5,1,1.00000000000000000e+00,1.25129999999999995e+02,1.60000000000000000e+02,4.00000000000000000e+02,6.50000000000000000e+02,9.97999999999999998e-01,3.00000000000000000e+03,1.57046299347390894e+00,1.50000000000000000e+04,4.99999944444484612e+00,5.00000000000000010e-03,-2.00000000000000004e-03,-2.54322388463809416e+07,2.58919626970232186e-01,4.75673400612642254e+01,-8.05162586072575159e+00,6.08229571186057250e-01,5.00000000000000010e-03,-2.00000000000000004e-03,2.99999999999979582e+03,4.99999944167905230e+00,1.49999999917026162e+04,1,1.00000000000000000e+00,positivity,check_positivity_false,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,-4.01945267621960724e+05,4.01945267621960724e+05,4.01945267621960724e+05,4.01945267621960724e+05,1.29524403170622818e-05,5.79505895178024744e-07,0.00000000000000000e+00,1.30993299153029332e-06,2.80593403580609892e-04,1.34682471990502738e-05,1.89619987927780002e-02,5.44785247817137618e-03,2.61835985815508248e-06,0.00000000000000000e+00,2.47213825123059304e-02,9.35151496517239167e-09,5.23936730100541567e-04,2.34414841034701621e-05,0.00000000000000000e+00,5.29878533645207164e-05,1.13502310577062084e-02,5.44801537387562540e-04,7.67028251083409440e-01,2.20370057194799573e-01,1.05914782753420148e-04,0.00000000000000000e+00,1.00000000000000000e+00,7.98203661554015557e-12
dihiggs.point.v2,DihiggsPointV2Evaluator,c4fc29fc3593d4a537089e22e43504bfb9ed4a87,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_high_tanbeta,point_50e4f82f963c8597,1,1.00000000000000000e+00,1.25129999999999995e+02,1.60000000000000000e+02,4.00000000000000000e+02,6.50000000000000000e+02,9.97999999999999998e-01,3.00000000000000000e+03,1.57046299347390894e+00,2.00000000000000000e+04,6.66666592592646179e+00,5.00000000000000010e-03,-2.00000000000000004e-03,-2.61745121691161394e+07,2.58919617806363966e-01,4.74848652476269706e+01,-7.96915104708849853e+00,6.90704384823312534e-01,5.00000000000000010e-03,-2.00000000000000004e-03,2.99999999999979582e+03,6.66666591678176790e+00,1.99999999725659145e+04,1,1.00000000000000000e+00,positivity,check_positivity_false,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,-4.13412216633494245e+05,4.13412216633494245e+05,4.13412216633494245e+05,4.13412216633494245e+05,1.29524403170622818e-05,5.79505895178024744e-07,0.00000000000000000e+00,1.30993299153029332e-06,2.80593403580609892e-04,1.34682471990502738e-05,2.00819896874166494e-02,5.76787865045476616e-03,2.61835985815508248e-06,0.00000000000000000e+00,2.61613995792279695e-02,9.35151496517239167e-09,4.95097377257540101e-04,2.21511809191641936e-05,0.00000000000000000e+00,5.00712122668839970e-05,1.07254737167578659e-02,5.14813710874398333e-04,7.67619088061391674e-01,2.20472862431810995e-01,1.00084854031817473e-04,0.00000000000000000e+00,1.00000000000000000e+00,7.54267675176968473e-12
dihiggs.point.v2,DihiggsPointV2Evaluator,c4fc29fc3593d4a537089e22e43504bfb9ed4a87,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_high_tanbeta,point_8dd32e092bdd9d6e,1,1.00000000000000000e+00,1.25129999999999995e+02,1.60000000000000000e+02,4.00000000000000000e+02,6.50000000000000000e+02,9.97999999999999998e-01,3.00000000000000000e+03,1.57046299347390894e+00,2.50000000000000000e+04,8.33333240740807746e+00,5.00000000000000010e-03,-2.00000000000000004e-03,-2.69167854918513373e+07,2.58919608642495858e-01,4.74023904339897157e+01,-7.88667623345124369e+00,7.73179198460567818e-01,5.00000000000000010e-03,-2.00000000000000004e-03,2.99999999999979582e+03,8.33333241098387312e+00,2.50000000107273881e+04,1,1.00000000000000000e+00,positivity,check_positivity_false,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,-4.24879165645027766e+05,4.24879165645027766e+05,4.24879165645027766e+05,4.24879165645027766e+05,1.29524403170622818e-05,5.79505895178024744e-07,0.00000000000000000e+00,1.30993299153029332e-06,2.80593403580609892e-04,1.34682471990502738e-05,2.12341145366226509e-02,6.09703820909163977e-03,2.61835985815508248e-06,0.00000000000000000e+00,2.76426839870708430e-02,9.35151496517239167e-09,4.68566667517541146e-04,2.09641688719182915e-05,0.00000000000000000e+00,4.73880536399063468e-05,1.01507293471158680e-02,4.87226464888492773e-04,7.68163994008482121e-01,2.20566071367866212e-01,9.47216217998134104e-05,0.00000000000000000e+00,1.00000000000000000e+00,7.13848845113211998e-12
dihiggs.point.v2,DihiggsPointV2Evaluator,c4fc29fc3593d4a537089e22e43504bfb9ed4a87,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_high_tanbeta,point_c74cdb2014d4e166,1,1.00000000000000000e+00,1.25129999999999995e+02,1.60000000000000000e+02,4.00000000000000000e+02,6.50000000000000000e+02,9.97999999999999998e-01,3.00000000000000000e+03,1.57046299347390894e+00,3.00000000000000000e+04,9.99999888888969224e+00,5.00000000000000010e-03,-2.00000000000000004e-03,-2.76590588145865314e+07,2.58919599478627638e-01,4.73199156203524609e+01,-7.80420141981398885e+00,8.55654012097823102e-01,5.00000000000000010e-03,-2.00000000000000004e-03,2.99999999999979582e+03,9.99999888608658871e+00,2.99999999915906883e+04,1,1.00000000000000000e+00,positivity,check_positivity_false,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,-4.36346114656561171e+05,4.36346114656561171e+05,4.36346114656561171e+05,4.36346114656561171e+05,1.29524403170622818e-05,5.79505895178024744e-07,0.00000000000000000e+00,1.30993299153029332e-06,2.80593403580609892e-04,1.34682471990502738e-05,2.24183733403959598e-02,6.43533115408199442e-03,2.61835985815508248e-06,0.00000000000000000e+00,2.91652357358345056e-02,9.35151496517239167e-09,4.44105456042927953e-04,1.98697483684660289e-05,0.00000000000000000e+00,4.49141917931016545e-05,9.62081726758864074e-03,4.61791131093180823e-04,7.68667654307732318e-01,2.20650750515795885e-01,8.97767424844770744e-05,0.00000000000000000e+00,1.00000000000000000e+00,6.76582840568471348e-12
dihiggs.point.v2,DihiggsPointV2Evaluator,c4fc29fc3593d4a537089e22e43504bfb9ed4a87,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_high_tanbeta,point_619771335ef65e97,1,1.00000000000000000e+00,1.25129999999999995e+02,1.90000000000000000e+02,4.00000000000000000e+02,6.50000000000000000e+02,9.97999999999999998e-01,3.00000000000000000e+03,1.57046299347390894e+00,1.00000000000000000e+04,3.33333296296323089e+00,5.00000000000000010e-03,-2.00000000000000004e-03,-2.31373548465947881e+07,2.59604466566330128e-01,8.02577133206670794e+01,-8.13410067436300821e+00,5.25754757548801965e-01,5.00000000000000010e-03,-2.00000000000000004e-03,2.99999999999979582e+03,3.33333296111936805e+00,9.99999999446841139e+03,1,1.00000000000000000e+00,positivity,check_positivity_false,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,-3.74452962928459921e+05,3.74452962928459921e+05,3.74452962928459921e+05,3.74452962928459921e+05,1.48805403863035841e-05,6.64823109127380145e-07,0.00000000000000000e+00,1.55588039488995997e-06,3.08359141393301775e-03,8.30486172174759872e-04,2.64285404426821031e-02,1.12201729991390480e-02,4.33730464742791976e-06,0.00000000000000000e+00,4.15842404896581835e-02,1.09131915101978727e-08,3.57840860169234291e-04,1.59873813083761546e-05,0.00000000000000000e+00,3.74151451744537844e-05,7.41528852667128341e-02,1.99711756760664674e-02,6.35542218193326458e-01,2.69817913397491393e-01,1.04301643996758538e-04,0.00000000000000000e+00,1.00000000000000000e+00,4.74523468690198542e-12
dihiggs.point.v2,DihiggsPointV2Evaluator,c4fc29fc3593d4a537089e22e43504bfb9ed4a87,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_high_tanbeta,point_9e85a70cf497766e,1,1.00000000000000000e+00,1.25129999999999995e+02,1.90000000000000000e+02,4.00000000000000000e+02,6.50000000000000000e+02,9.97999999999999998e-01,3.00000000000000000e+03,1.57046299347390894e+00,1.50000000000000000e+04,4.99999944444484612e+00,5.00000000000000010e-03,-2.00000000000000004e-03,-2.38796281693299860e+07,2.59604457402461963e-01,8.01752385070298033e+01,-8.05162586072575159e+00,6.08229571186057250e-01,5.00000000000000010e-03,-2.00000000000000004e-03,2.99999999999979582e+03,4.99999944713602051e+00,1.50000000080735226e+04,1,1.00000000000000000e+00,positivity,check_positivity_false,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,-3.85919911939993501e+05,3.85919911939993501e+05,3.85919911939993501e+05,3.85919911939993501e+05,1.48805403863035841e-05,6.64823109127380145e-07,0.00000000000000000e+00,1.55588039488995997e-06,3.08359141393301775e-03,8.30486172174759872e-04,2.81477915620759328e-02,1.19468258261158054e-02,4.33730464742791976e-06,0.00000000000000000e+00,4.40301444360287758e-02,1.09131915171367666e-08,3.37962561261261887e-04,1.50992715931990419e-05,0.00000000000000000e+00,3.53367088575076669e-05,7.00336429378094760e-02,1.88617635216111988e-02,6.39284561125429640e-01,2.71332878398191535e-01,9.85076179736265190e-05,0.00000000000000000e+00,1.00000000000000000e+00,4.48163372906249713e-12
dihiggs.point.v2,DihiggsPointV2Evaluator,c4fc29fc3593d4a537089e22e43504bfb9ed4a87,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_high_tanbeta,point_33b4d60afeabe8cc,1,1.00000000000000000e+00,1.25129999999999995e+02,1.90000000000000000e+02,4.00000000000000000e+02,6.50000000000000000e+02,9.97999999999999998e-01,3.00000000000000000e+03,1.57046299347390894e+00,2.00000000000000000e+04,6.66666592592646179e+00,5.00000000000000010e-03,-2.00000000000000004e-03,-2.46219014920651838e+07,2.59604448238593744e-01,8.00927636933925555e+01,-7.96915104708849853e+00,6.90704384823312534e-01,5.00000000000000010e-03,-2.00000000000000004e-03,2.99999999999979582e+03,6.66666592223873611e+00,1.99999999889368228e+04,1,1.00000000000000000e+00,positivity,check_positivity_false,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,-3.97386860951527022e+05,3.97386860951527022e+05,3.97386860951527022e+05,3.97386860951527022e+05,1.48805403863035841e-05,6.64823109127380145e-07,0.00000000000000000e+00,1.55588039488995997e-06,3.08359141393301775e-03,8.30486172174759872e-04,2.99212157382503716e-02,1.26962769624532693e-02,4.33730464742791976e-06,0.00000000000000000e+00,4.65530197485406749e-02,1.09131915101978727e-08,3.19647156439729224e-04,1.42809878439351026e-05,0.00000000000000000e+00,3.34216857100603652e-05,6.62382683355289964e-02,1.78395768236021615e-02,6.42734153442072409e-01,2.72727248007391954e-01,9.31691364138388450e-05,0.00000000000000000e+00,1.00000000000000000e+00,4.23875790369508123e-12
dihiggs.point.v2,DihiggsPointV2Evaluator,c4fc29fc3593d4a537089e22e43504bfb9ed4a87,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_high_tanbeta,point_ca4e0eb5a8012eb5,1,1.00000000000000000e+00,1.25129999999999995e+02,1.90000000000000000e+02,4.00000000000000000e+02,6.50000000000000000e+02,9.97999999999999998e-01,3.00000000000000000e+03,1.57046299347390894e+00,2.50000000000000000e+04,8.33333240740807746e+00,5.00000000000000010e-03,-2.00000000000000004e-03,-2.53641748148003779e+07,2.59604439074725579e-01,8.00102888797552936e+01,-7.88667623345124369e+00,7.73179198460567818e-01,5.00000000000000010e-03,-2.00000000000000004e-03,2.99999999999979582e+03,8.33333240552690491e+00,2.49999999943564835e+04,1,1.00000000000000000e+00,positivity,check_positivity_false,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,-4.08853809963060427e+05,4.08853809963060427e+05,4.08853809963060427e+05,4.08853809963060427e+05,1.48805403863035841e-05,6.64823109127380145e-07,0.00000000000000000e+00,1.55588039488995997e-06,3.08359141393301775e-03,8.30486172174759872e-04,3.17488129712054160e-02,1.34685264081514135e-02,4.33730464742791976e-06,0.00000000000000000e+00,4.91528664271938670e-02,1.09131915171367666e-08,3.02740032635633038e-04,1.35256223584056574e-05,0.00000000000000000e+00,3.16539096899782766e-05,6.27347220634729419e-02,1.68959865932720582e-02,6.45919867526593694e-01,2.74013041092959320e-01,8.82411334820608107e-05,0.00000000000000000e+00,1.00000000000000000e+00,4.01455692705702900e-12
dihiggs.point.v2,DihiggsPointV2Evaluator,c4fc29fc3593d4a537089e22e43504bfb9ed4a87,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_high_tanbeta,point_597e2807400e86dd,1,1.00000000000000000e+00,1.25129999999999995e+02,1.90000000000000000e+02,4.00000000000000000e+02,6.50000000000000000e+02,9.97999999999999998e-01,3.00000000000000000e+03,1.57046299347390894e+00,3.00000000000000000e+04,9.99999888888969224e+00,5.00000000000000010e-03,-2.00000000000000004e-03,-2.61064481375355758e+07,2.59604429910857415e-01,7.99278140661180601e+01,-7.80420141981398885e+00,8.55654012097823102e-01,5.00000000000000010e-03,-2.00000000000000004e-03,2.99999999999979582e+03,9.99999889154355692e+00,3.00000000079615929e+04,1,1.00000000000000000e+00,positivity,check_positivity_false,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,-4.20320758974594006e+05,4.20320758974594006e+05,4.20320758974594006e+05,4.20320758974594006e+05,1.48805403863035841e-05,6.64823109127380145e-07,0.00000000000000000e+00,1.55588039488995997e-06,3.08359141393301775e-03,8.30486172174759872e-04,3.36305832609410729e-02,1.42635741632102728e-02,4.33730464742791976e-06,0.00000000000000000e+00,5.18296844719883798e-02,1.09131915101978727e-08,2.87104591469119390e-04,1.28270722830019777e-05,0.00000000000000000e+00,3.00190983360287205e-05,5.94946977846172453e-02,1.60233692455450001e-02,6.48867219693704533e-01,2.75200868161161460e-01,8.36837941734343093e-05,0.00000000000000000e+00,1.00000000000000000e+00,3.80721940351858405e-12
