schema_version,producer,producer_commit,producer_dirty,evaluator_api,campaign_id,run_id,point_id,yukawa_type,yukawa_type_installed,mh_input_GeV,mH_input_GeV,mA_input_GeV,mHp_input_GeV,sin_beta_minus_alpha_input,tan_beta_input,beta_input_rad,M2_input_GeV2,m12_sq_input_GeV2,lambda6_input,lambda7_input,lambda1_reconstructed,lambda2_reconstructed,lambda3_reconstructed,lambda4_reconstructed,lambda5_reconstructed,lambda6_reconstructed,lambda7_reconstructed,tan_beta_reconstructed,m12_sq_reconstructed_GeV2,M2_reconstructed_GeV2,construction_ok,numerical_ok,rejection_stage,rejection_reason,positivity_reported_ok,unitarity_ok,perturbativity_ok,stability_reported_ok,stability_dependency_alias,triple_ok_legacy,theory_ok_v1,experimental_evaluated,experimental_ok,two_hdmc_hphiphi_real_GeV,two_hdmc_hphiphi_imag_GeV,g_physical_hphiphi_GeV,g_physical_hphiphi_abs_GeV,g_hH2H2_GeV,width_bb_GeV,width_cc_GeV,width_tt_GeV,width_tautau_GeV,width_WW_GeV,width_ZZ_GeV,width_gammagamma_GeV,width_Zgamma_GeV,width_gg_GeV,width_hh_GeV,total_width_GeV,width_unaccounted_GeV,br_bb,br_cc,br_tt,br_tautau,br_WW,br_ZZ,br_gammagamma,br_Zgamma,br_gg,br_hh,width_ok,ctau_mm
dihiggs.point.v2,DihiggsPointV2Evaluator,f7cce2aecfafb5f8e25f26ae0b917adcf5894989,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_low_mass_perturbation,point_ac946f701323ea45,1,1.00000000000000000e+00,1.25129999999999995e+02,1.30000000000000000e+02,3.10000000000000000e+02,3.10000000000000000e+02,9.98999999999999999e-01,5.00000000000000000e+01,1.55079899282174605e+00,1.67216815446837099e+04,3.34299910929303167e+02,1.00000000000000006e-01,0.00000000000000000e+00,1.00820077853277290e-01,2.58276070518430323e-01,2.91884753543672737e+00,-1.31034240428818349e+00,-1.31034240428818349e+00,1.00000000000000006e-01,0.00000000000000000e+00,4.99999999999999005e+01,3.34299910929302541e+02,1.67216815446836808e+04,1,1.00000000000000000e+00,accepted,none,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,-7.30433967176252281e+01,7.30433967176252281e+01,7.30433967176252281e+01,7.30433967176252281e+01,1.68923454963338999e-06,7.57688717259754917e-08,0.00000000000000000e+00,1.64557991401996388e-07,2.86635725874939584e-06,3.82673275504883934e-07,2.38811995283512776e-08,1.89028503645830735e-08,2.18489920852363346e-07,0.00000000000000000e+00,5.44106538481407075e-06,1.19946705313094530e-09,3.10460255513197392e-01,1.39253742359805571e-02,0.00000000000000000e+00,3.02437077601153612e-02,5.26800737728562285e-01,7.03305783777050525e-02,4.38906681676778498e-03,3.47410829087638554e-03,4.01557241826509467e-02,0.00000000000000000e+00,1.00000000000000000e+00,3.62662395035238065e-08
dihiggs.point.v2,DihiggsPointV2Evaluator,f7cce2aecfafb5f8e25f26ae0b917adcf5894989,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_low_mass_perturbation,point_803223f7bb9166c6,1,1.00000000000000000e+00,1.25129999999999995e+02,1.30000000000000000e+02,3.10000000000000000e+02,3.10000000000000000e+02,9.98999999999999999e-01,5.00000000000000000e+01,1.55079899282174605e+00,1.67912611585127815e+04,3.35690946791539659e+02,1.00000000000000006e-01,0.00000000000000000e+00,-2.76846276389913637e+00,2.58275611433175678e-01,2.91769982230002656e+00,-1.30919469115148246e+00,-1.30919469115148246e+00,1.00000000000000006e-01,0.00000000000000000e+00,4.99999999999999005e+01,3.35690946791645956e+02,1.67912611585180966e+04,1,1.00000000000000000e+00,positivity,check_positivity_false,0.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,-7.43728229381345187e+01,7.43728229381345187e+01,7.43728229381345187e+01,7.43728229381345187e+01,1.68923454963338999e-06,7.57688717259754917e-08,0.00000000000000000e+00,1.64557991401996388e-07,2.86635725874939584e-06,3.82673275504883934e-07,2.48325277929029489e-08,1.91970695829269380e-08,2.18489920852363346e-07,0.00000000000000000e+00,5.44231093229696702e-06,1.19946705313179233e-09,3.10389202426630983e-01,1.39221872231391763e-02,0.00000000000000000e+00,3.02367860728867781e-02,5.26680172156137494e-01,7.03144822604565706e-02,4.56286458120873980e-03,3.52737464318759065e-03,4.01465339945485389e-02,0.00000000000000000e+00,1.00000000000000000e+00,3.62579394773235963e-08
dihiggs.point.v2,DihiggsPointV2Evaluator,f7cce2aecfafb5f8e25f26ae0b917adcf5894989,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_low_mass_perturbation,point_ba5cdd4902fc9e16,1,1.00000000000000000e+00,1.25129999999999995e+02,1.30000000000000000e+02,3.10000000000000000e+02,3.10000000000000000e+02,9.98999999999999999e-01,5.00000000000000000e+01,1.55079899282174605e+00,1.68608407723418568e+04,3.37081982653776322e+02,1.00000000000000006e-01,0.00000000000000000e+00,-5.63774560565169924e+00,2.58275152347920978e-01,2.91655210916332575e+00,-1.30804697801478143e+00,-1.30804697801478143e+00,1.00000000000000006e-01,0.00000000000000000e+00,4.99999999999999005e+01,3.37081982653761997e+02,1.68608407723411401e+04,1,1.00000000000000000e+00,positivity,check_positivity_false,0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,-7.57022491586437098e+01,7.57022491586437098e+01,7.57022491586437098e+01,7.57022491586437098e+01,1.68923454963338999e-06,7.57688717259754917e-08,0.00000000000000000e+00,1.64557991401996388e-07,2.86635725874939584e-06,3.82673275504883934e-07,2.58024365271956738e-08,1.94935608864090153e-08,2.18489920852363346e-07,0.00000000000000000e+00,5.44357733233474086e-06,1.19946705313094530e-09,3.10316993128649132e-01,1.39189483496284516e-02,0.00000000000000000e+00,3.02297517524965052e-02,5.26557644680326509e-01,7.02981242191255962e-02,4.73997795051605414e-03,3.58102029167798371e-03,4.01371942591019285e-02,0.00000000000000000e+00,1.00000000000000000e+00,3.62495043889395409e-08
dihiggs.point.v2,DihiggsPointV2Evaluator,f7cce2aecfafb5f8e25f26ae0b917adcf5894989,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_low_mass_perturbation,point_28566356a0ba315b,1,1.00000000000000000e+00,1.25129999999999995e+02,1.30000000000000000e+02,3.10000000000000000e+02,3.10000000000000000e+02,9.98999999999999999e-01,5.00000000000000000e+01,1.55079899282174605e+00,1.69304203861709284e+04,3.38473018516012814e+02,1.00000000000000006e-01,0.00000000000000000e+00,-8.50702844740411201e+00,2.58274693262666277e-01,2.91540439602662493e+00,-1.30689926487808061e+00,-1.30689926487808061e+00,1.00000000000000006e-01,0.00000000000000000e+00,4.99999999999999005e+01,3.38473018515923513e+02,1.69304203861664610e+04,1,1.00000000000000000e+00,positivity,check_positivity_false,0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,-7.70316753791527731e+01,7.70316753791527731e+01,7.70316753791527731e+01,7.70316753791527731e+01,1.68923454963338999e-06,7.57688717259754917e-08,0.00000000000000000e+00,1.64557991401996388e-07,2.86635725874939584e-06,3.82673275504883934e-07,2.67909257312293497e-08,1.97923242750292854e-08,2.18489920852363346e-07,0.00000000000000000e+00,5.44486458492739479e-06,1.19946705313094530e-09,3.10243629255642028e-01,1.39156576888469739e-02,0.00000000000000000e+00,3.02226049583546631e-02,5.26433158077817986e-01,7.02815046244142233e-02,4.92040257629044325e-03,3.63504435533968523e-03,4.01277051879659966e-02,0.00000000000000000e+00,1.00000000000000000e+00,3.62409344295256286e-08
dihiggs.point.v2,DihiggsPointV2Evaluator,f7cce2aecfafb5f8e25f26ae0b917adcf5894989,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_low_mass_perturbation,point_81981264351c91c0,1,1.00000000000000000e+00,1.25129999999999995e+02,1.30000000000000000e+02,3.10000000000000000e+02,3.10000000000000000e+02,9.98999999999999999e-01,5.00000000000000000e+01,1.55079899282174605e+00,1.70000000000000000e+04,3.39864054378249421e+02,1.00000000000000006e-01,0.00000000000000000e+00,-1.13763112891566749e+01,2.58274234177411577e-01,2.91425668288992412e+00,-1.30575155174137958e+00,-1.30575155174137958e+00,1.00000000000000006e-01,0.00000000000000000e+00,4.99999999999999005e+01,3.39864054378175979e+02,1.69999999999963293e+04,1,1.00000000000000000e+00,positivity,check_positivity_false,0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,-7.83611015996619784e+01,7.83611015996619784e+01,7.83611015996619784e+01,7.83611015996619784e+01,1.68923454963338999e-06,7.57688717259754917e-08,0.00000000000000000e+00,1.64557991401996388e-07,2.86635725874939584e-06,3.82673275504883934e-07,2.77979954050040758e-08,2.00933597487877649e-08,2.18489920852363346e-07,0.00000000000000000e+00,5.44617269007492799e-06,1.19946705313094530e-09,3.10169112468989594e-01,1.39123153153142241e-02,0.00000000000000000e+00,3.02153458523057618e-02,5.26306715167704442e-01,7.02646238526856426e-02,5.10413403814076114e-03,3.68944594529765479e-03,4.01180669960278791e-02,0.00000000000000000e+00,1.00000000000000000e+00,3.62322297931550145e-08
dihiggs.point.v2,DihiggsPointV2Evaluator,f7cce2aecfafb5f8e25f26ae0b917adcf5894989,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_low_mass_perturbation,point_23bdb03d1430e3ec,1,1.00000000000000000e+00,1.25129999999999995e+02,1.35000000000000000e+02,3.10000000000000000e+02,3.10000000000000000e+02,9.98999999999999999e-01,5.00000000000000000e+01,1.55079899282174605e+00,1.67216815446837099e+04,3.34299910929303167e+02,1.00000000000000006e-01,0.00000000000000000e+00,5.47288233809828029e+01,2.58289437141296652e-01,2.94586959897920808e+00,-1.31034240428818349e+00,-1.31034240428818349e+00,1.00000000000000006e-01,0.00000000000000000e+00,4.99999999999999005e+01,3.34299910929348016e+02,1.67216815446859546e+04,1,1.00000000000000000e+00,unitarity,check_unitarity_false,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,-5.97499277674128564e+01,5.97499277674128564e+01,5.97499277674128564e+01,5.97499277674128564e+01,1.74237635839133095e-06,7.81104450277942105e-08,0.00000000000000000e+00,1.70901081281409153e-07,4.76418333600083746e-06,6.60517184097467489e-07,1.14161274802792172e-08,2.03886916896823884e-08,2.44118866741357548e-07,0.00000000000000000e+00,7.69325296504699175e-06,1.24087433683273368e-09,2.26481095358169876e-01,1.01531101840373582e-02,0.00000000000000000e+00,2.22144107385873861e-02,6.19267734682078963e-01,8.58566833949717806e-02,1.48391422096042901e-03,2.65020424810090069e-03,3.17315533299724825e-02,0.00000000000000000e+00,1.00000000000000000e+00,2.56493555192481184e-08
dihiggs.point.v2,DihiggsPointV2Evaluator,f7cce2aecfafb5f8e25f26ae0b917adcf5894989,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_low_mass_perturbation,point_23074f1c6bb65a8f,1,1.00000000000000000e+00,1.25129999999999995e+02,1.35000000000000000e+02,3.10000000000000000e+02,3.10000000000000000e+02,9.98999999999999999e-01,5.00000000000000000e+01,1.55079899282174605e+00,1.67912611585127815e+04,3.35690946791539659e+02,1.00000000000000006e-01,0.00000000000000000e+00,5.18595405392303874e+01,2.58288978056042007e-01,2.94472188584250727e+00,-1.30919469115148246e+00,-1.30919469115148246e+00,1.00000000000000006e-01,0.00000000000000000e+00,4.99999999999999005e+01,3.35690946791600481e+02,1.67912611585158229e+04,1,1.00000000000000000e+00,unitarity,check_unitarity_false,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,-6.10793539879218201e+01,6.10793539879218201e+01,6.10793539879218201e+01,6.10793539879218201e+01,1.74237635839133095e-06,7.81104450277942105e-08,0.00000000000000000e+00,1.70901081281409153e-07,4.76418333600083746e-06,6.60517184097467489e-07,1.21171435390947987e-08,2.07476167668954562e-08,2.44118866741357548e-07,0.00000000000000000e+00,7.69431290618301945e-06,1.24087433683273368e-09,2.26449896129280986e-01,1.01517115277474593e-02,0.00000000000000000e+00,2.22113505604998145e-02,6.19182426565004995e-01,8.58448560841198749e-02,1.57481813994822940e-03,2.69648726531813163e-03,3.17271821042250241e-02,0.00000000000000000e+00,1.00000000000000000e+00,2.56458221554040757e-08
dihiggs.point.v2,DihiggsPointV2Evaluator,f7cce2aecfafb5f8e25f26ae0b917adcf5894989,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_low_mass_perturbation,point_44c0d3128652aaef,1,1.00000000000000000e+00,1.25129999999999995e+02,1.35000000000000000e+02,3.10000000000000000e+02,3.10000000000000000e+02,9.98999999999999999e-01,5.00000000000000000e+01,1.55079899282174605e+00,1.68608407723418568e+04,3.37081982653776322e+02,1.00000000000000006e-01,0.00000000000000000e+00,4.89902576974778299e+01,2.58288518970787306e-01,2.94357417270580646e+00,-1.30804697801478143e+00,-1.30804697801478143e+00,1.00000000000000006e-01,0.00000000000000000e+00,4.99999999999999005e+01,3.37081982653807472e+02,1.68608407723434175e+04,1,1.00000000000000000e+00,unitarity,check_unitarity_false,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,-6.24087802084311818e+01,6.24087802084311818e+01,6.24087802084311818e+01,6.24087802084311818e+01,1.74237635839133095e-06,7.81104450277942105e-08,0.00000000000000000e+00,1.70901081281409153e-07,4.76418333600083746e-06,6.60517184097467489e-07,1.28390468730665494e-08,2.11096736200898020e-08,2.44118866741357548e-07,0.00000000000000000e+00,7.69539686637018422e-06,1.24087433683103961e-09,2.26417998791683700e-01,1.01502815753592001e-02,0.00000000000000000e+00,2.22082219083810442e-02,6.19095209607823493e-01,8.58327641273457231e-02,1.66840607391864843e-03,2.74315593940861312e-03,3.17227130686640116e-02,0.00000000000000000e+00,1.00000000000000000e+00,2.56422097296037829e-08
dihiggs.point.v2,DihiggsPointV2Evaluator,f7cce2aecfafb5f8e25f26ae0b917adcf5894989,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_low_mass_perturbation,point_b300022e484bf7c6,1,1.00000000000000000e+00,1.25129999999999995e+02,1.35000000000000000e+02,3.10000000000000000e+02,3.10000000000000000e+02,9.98999999999999999e-01,5.00000000000000000e+01,1.55079899282174605e+00,1.69304203861709284e+04,3.38473018516012814e+02,1.00000000000000006e-01,0.00000000000000000e+00,4.61209748557254073e+01,2.58288059885532661e-01,2.94242645956910520e+00,-1.30689926487808061e+00,-1.30689926487808061e+00,1.00000000000000006e-01,0.00000000000000000e+00,4.99999999999999005e+01,3.38473018516059938e+02,1.69304203861732858e+04,1,1.00000000000000000e+00,unitarity,check_unitarity_false,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,-6.37382064289401171e+01,6.37382064289401171e+01,6.37382064289401171e+01,6.37382064289401171e+01,1.74237635839133095e-06,7.81104450277942105e-08,0.00000000000000000e+00,1.70901081281409153e-07,4.76418333600083746e-06,6.60517184097467489e-07,1.35818374821943963e-08,2.14748622492653928e-08,2.44118866741357548e-07,0.00000000000000000e+00,7.69650484560848774e-06,1.24087433683103961e-09,2.26385403938971747e-01,1.01488203534832924e-02,0.00000000000000000e+00,2.22050248404537520e-02,6.19006085433599140e-01,8.58204077496746986e-02,1.76467601263760555e-03,2.79020967049980247e-03,3.17181463064559951e-02,0.00000000000000000e+00,1.00000000000000000e+00,2.56385183090727047e-08
dihiggs.point.v2,DihiggsPointV2Evaluator,f7cce2aecfafb5f8e25f26ae0b917adcf5894989,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_low_mass_perturbation,point_fb8f78425e50de21,1,1.00000000000000000e+00,1.25129999999999995e+02,1.35000000000000000e+02,3.10000000000000000e+02,3.10000000000000000e+02,9.98999999999999999e-01,5.00000000000000000e+01,1.55079899282174605e+00,1.70000000000000000e+04,3.39864054378249421e+02,1.00000000000000006e-01,0.00000000000000000e+00,4.32516920139728498e+01,2.58287600800277906e-01,2.94127874643240439e+00,-1.30575155174137958e+00,-1.30575155174137958e+00,1.00000000000000006e-01,0.00000000000000000e+00,4.99999999999999005e+01,3.39864054378221454e+02,1.69999999999986030e+04,1,1.00000000000000000e+00,unitarity,check_unitarity_false,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,-6.50676326494493367e+01,6.50676326494493367e+01,6.50676326494493367e+01,6.50676326494493367e+01,1.74237635839133095e-06,7.81104450277942105e-08,0.00000000000000000e+00,1.70901081281409153e-07,4.76418333600083746e-06,6.60517184097467489e-07,1.43455153664784206e-08,2.18431826544222683e-08,2.44118866741357548e-07,0.00000000000000000e+00,7.69763684389793002e-06,1.24087433683273368e-09,2.26352112177459680e-01,1.01473278893007158e-02,0.00000000000000000e+00,2.22017594161883387e-02,6.18915055700179018e-01,8.58077871809544562e-02,1.86362589680369190e-03,2.83764785185180481e-03,3.17134819025498005e-02,0.00000000000000000e+00,1.00000000000000000e+00,2.56347479624769566e-08
