schema_version,producer,producer_commit,producer_dirty,evaluator_api,campaign_id,run_id,point_id,yukawa_type,yukawa_type_installed,mh_input_GeV,mH_input_GeV,mA_input_GeV,mHp_input_GeV,sin_beta_minus_alpha_input,tan_beta_input,beta_input_rad,M2_input_GeV2,m12_sq_input_GeV2,lambda6_input,lambda7_input,lambda1_reconstructed,lambda2_reconstructed,lambda3_reconstructed,lambda4_reconstructed,lambda5_reconstructed,lambda6_reconstructed,lambda7_reconstructed,tan_beta_reconstructed,m12_sq_reconstructed_GeV2,M2_reconstructed_GeV2,construction_ok,numerical_ok,rejection_stage,rejection_reason,positivity_reported_ok,unitarity_ok,perturbativity_ok,stability_reported_ok,stability_dependency_alias,triple_ok_legacy,theory_ok_v1,experimental_evaluated,experimental_ok,two_hdmc_hphiphi_real_GeV,two_hdmc_hphiphi_imag_GeV,g_physical_hphiphi_GeV,g_physical_hphiphi_abs_GeV,g_hH2H2_GeV,width_bb_GeV,width_cc_GeV,width_tt_GeV,width_tautau_GeV,width_WW_GeV,width_ZZ_GeV,width_gammagamma_GeV,width_Zgamma_GeV,width_gg_GeV,width_hh_GeV,total_width_GeV,width_unaccounted_GeV,br_bb,br_cc,br_tt,br_tautau,br_WW,br_ZZ,br_gammagamma,br_Zgamma,br_gg,br_hh,width_ok,ctau_mm
dihiggs.point.v2,DihiggsPointV2Evaluator,f7cce2aecfafb5f8e25f26ae0b917adcf5894989,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_tanbeta_perturbation,point_813b2e809a9ff036,1,1.00000000000000000e+00,1.25129999999999995e+02,2.00000000000000000e+02,5.00000000000000000e+02,5.00000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+03,1.56979632712822981e+00,3.99999995713761018e+04,3.99999595714143510e+01,1.00000000000000004e-10,0.00000000000000000e+00,2.65340142913145838e-01,2.58270157669942269e-01,7.18615451026949348e+00,-3.46394217983491037e+00,-3.46394217983491037e+00,1.00000000000000004e-10,0.00000000000000000e+00,1.00000000000005446e+03,3.99999595701978237e+01,3.99999995701595690e+04,1,1.00000000000000000e+00,accepted,none,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,-6.35914286778212272e+01,6.35914286778212272e+01,6.35914286778212272e+01,6.35914286778212272e+01,3.92309077036673493e-09,1.75213231423946600e-10,0.00000000000000000e+00,4.14221289486895524e-10,0.00000000000000000e+00,0.00000000000000000e+00,2.97659027716987216e-12,4.69383946026030491e-13,1.28927420728957271e-09,0.00000000000000000e+00,5.80813617690173267e-09,2.89070411138707669e-12,6.75447450073295541e-01,3.01668600885683091e-02,0.00000000000000000e+00,7.13174204031586517e-02,0.00000000000000000e+00,0.00000000000000000e+00,5.12486309981404734e-04,8.08149002932669953e-05,2.21977269130992999e-01,0.00000000000000000e+00,1.00000000000000000e+00,3.39742344858830864e-05
dihiggs.point.v2,DihiggsPointV2Evaluator,f7cce2aecfafb5f8e25f26ae0b917adcf5894989,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_tanbeta_perturbation,point_3c9828174c5fa98b,1,1.00000000000000000e+00,1.25129999999999995e+02,2.00000000000000000e+02,5.00000000000000000e+02,5.00000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+03,1.56979632712822981e+00,4.02499996785320764e+04,4.02499594285704561e+01,1.00000000000000004e-10,0.00000000000000000e+00,-4.12347710925419779e+03,2.58270153546199810e-01,7.18203076782009830e+00,-3.45981843738551342e+00,-3.45981843738551342e+00,1.00000000000000004e-10,0.00000000000000000e+00,1.00000000000005446e+03,4.02499594274580943e+01,4.02499996774197134e+04,1,1.00000000000000000e+00,positivity,check_positivity_false,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,-6.15607282526159452e+01,6.15607282526159452e+01,6.15607282526159452e+01,6.15607282526159452e+01,3.92309077036673493e-09,1.75213231423946600e-10,0.00000000000000000e+00,4.14221289486895524e-10,0.00000000000000000e+00,0.00000000000000000e+00,2.62358600753257359e-08,1.19513566276679145e-08,1.28927420728957271e-09,0.00000000000000000e+00,4.39919069056721954e-08,2.89070411139865722e-12,8.91775566532875680e-02,3.98285147765111043e-03,0.00000000000000000e+00,9.41585211059552812e-03,0.00000000000000000e+00,0.00000000000000000e+00,5.96379241563246620e-01,2.71671711192108811e-01,2.93070770961132675e-02,0.00000000000000000e+00,1.00000000000000000e+00,4.48552914114657759e-06
dihiggs.point.v2,DihiggsPointV2Evaluator,f7cce2aecfafb5f8e25f26ae0b917adcf5894989,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_tanbeta_perturbation,point_585bb6990b8ed610,1,1.00000000000000000e+00,1.25129999999999995e+02,2.00000000000000000e+02,5.00000000000000000e+02,5.00000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+03,1.56979632712822981e+00,4.04999997856880509e+04,4.04999592857265611e+01,1.00000000000000004e-10,0.00000000000000000e+00,-8.24721955865118798e+03,2.58270149422457296e-01,7.17790702537070047e+00,-3.45569469493611692e+00,-3.45569469493611692e+00,1.00000000000000004e-10,0.00000000000000000e+00,1.00000000000005446e+03,4.04999592847183720e+01,4.04999997846798651e+04,1,1.00000000000000000e+00,positivity,check_positivity_false,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,-5.95300278274098673e+01,5.95300278274098673e+01,5.95300278274098673e+01,5.95300278274098673e+01,3.92309077036673493e-09,1.75213231423946600e-10,0.00000000000000000e+00,4.14221289486895524e-10,0.00000000000000000e+00,0.00000000000000000e+00,1.03828681662712414e-07,4.75063150390163822e-08,1.28927420728957271e-09,0.00000000000000000e+00,1.57139686904407348e-07,2.89070411138542233e-12,2.49656267468145419e-02,1.11501578548093921e-03,0.00000000000000000e+00,2.63600683981811933e-03,0.00000000000000000e+00,0.00000000000000000e+00,6.60741304174001787e-01,3.02319012942388388e-01,8.20463775057586608e-03,0.00000000000000000e+00,1.00000000000000000e+00,1.25574248165608074e-06
dihiggs.point.v2,DihiggsPointV2Evaluator,f7cce2aecfafb5f8e25f26ae0b917adcf5894989,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_tanbeta_perturbation,point_1fa8d47c162adf09,1,1.00000000000000000e+00,1.25129999999999995e+02,2.00000000000000000e+02,5.00000000000000000e+02,5.00000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+03,1.56979632712822981e+00,4.07499998928440255e+04,4.07499591428826591e+01,1.00000000000000004e-10,0.00000000000000000e+00,-1.23709620080481782e+04,2.58270145298714893e-01,7.17378328292130352e+00,-3.45157095248672041e+00,-3.45157095248672041e+00,1.00000000000000004e-10,0.00000000000000000e+00,1.00000000000005446e+03,4.07499591419786498e+01,4.07499998919400095e+04,1,1.00000000000000000e+00,positivity,check_positivity_false,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,-5.74993274022039031e+01,5.74993274022039031e+01,5.74993274022039031e+01,5.74993274022039031e+01,3.92309077036673493e-09,1.75213231423946600e-10,0.00000000000000000e+00,4.14221289486895524e-10,0.00000000000000000e+00,0.00000000000000000e+00,2.32781441352437237e-07,1.06665344617991400e-07,1.28927420728957271e-09,0.00000000000000000e+00,3.45251476173107176e-07,2.89070411138542233e-12,1.13629949214169874e-02,5.07494517810825078e-04,0.00000000000000000e+00,1.19976688898849860e-03,0.00000000000000000e+00,0.00000000000000000e+00,6.74237352820822977e-01,3.08949713409798654e-01,3.73430469169996459e-03,0.00000000000000000e+00,1.00000000000000000e+00,5.71545653004134752e-07
dihiggs.point.v2,DihiggsPointV2Evaluator,f7cce2aecfafb5f8e25f26ae0b917adcf5894989,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_tanbeta_perturbation,point_2d183c20db3376a8,1,1.00000000000000000e+00,1.25129999999999995e+02,2.00000000000000000e+02,5.00000000000000000e+02,5.00000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+03,1.56979632712822981e+00,4.10000000000000000e+04,4.09999590000387713e+01,1.00000000000000004e-10,0.00000000000000000e+00,-1.64947044574452884e+04,2.58270141174972490e-01,7.16965954047190746e+00,-3.44744721003732302e+00,-3.44744721003732302e+00,1.00000000000000004e-10,0.00000000000000000e+00,1.00000000000005446e+03,4.09999590010579169e+01,4.10000000010191507e+04,1,1.00000000000000000e+00,positivity,check_positivity_false,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,-5.54686269769985074e+01,5.54686269769985074e+01,5.54686269769985074e+01,5.54686269769985074e+01,3.92309077036673493e-09,1.75213231423946600e-10,0.00000000000000000e+00,4.14221289486895524e-10,0.00000000000000000e+00,0.00000000000000000e+00,4.13094139144506449e-07,1.89428445364595902e-07,1.28927420728957271e-09,0.00000000000000000e+00,6.08327274711780850e-07,2.89070411138542233e-12,6.44898056268388559e-03,2.88024618831961483e-04,0.00000000000000000e+00,6.80918490270141625e-04,0.00000000000000000e+00,0.00000000000000000e+00,6.79065621938825914e-01,3.11392326530723351e-01,2.11937596896410313e-03,0.00000000000000000e+00,1.00000000000000000e+00,3.24376349052393687e-07
dihiggs.point.v2,DihiggsPointV2Evaluator,f7cce2aecfafb5f8e25f26ae0b917adcf5894989,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_tanbeta_perturbation,point_4c9d1285a2122a0f,1,1.00000000000000000e+00,1.25129999999999995e+02,2.05000000000000000e+02,5.00000000000000000e+02,5.00000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+03,1.56979632712822981e+00,3.99999995713761018e+04,3.99999595714143510e+01,1.00000000000000004e-10,0.00000000000000000e+00,3.34025648632350130e+04,2.58270191072241806e-01,7.15275221074640832e+00,-3.46394217983491037e+00,-3.46394217983491037e+00,1.00000000000000004e-10,0.00000000000000000e+00,1.00000000000005446e+03,3.99999595701978237e+01,3.99999995701595690e+04,1,1.00000000000000000e+00,unitarity,check_unitarity_false,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,-8.00400950716978059e+01,8.00400950716978059e+01,8.00400950716978059e+01,8.00400950716978059e+01,4.00245899813667387e-09,1.78730579934482550e-10,0.00000000000000000e+00,4.24586513431126562e-10,0.00000000000000000e+00,0.00000000000000000e+00,1.81360805081441082e-06,8.66452887359783567e-07,1.39477068452296658e-09,0.00000000000000000e+00,2.68606444083756414e-06,2.95588734475297479e-12,1.49008301412479650e-03,6.65399449161208745e-05,0.00000000000000000e+00,1.58070114393358592e-04,0.00000000000000000e+00,0.00000000000000000e+00,6.75191564000189981e-01,3.22573380663052023e-01,5.19261810445639013e-04,0.00000000000000000e+00,1.00000000000000000e+00,7.34632339417999320e-08
dihiggs.point.v2,DihiggsPointV2Evaluator,f7cce2aecfafb5f8e25f26ae0b917adcf5894989,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_tanbeta_perturbation,point_f21ae80ea69a89f6,1,1.00000000000000000e+00,1.25129999999999995e+02,2.05000000000000000e+02,5.00000000000000000e+02,5.00000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+03,1.56979632712822981e+00,4.02499996785320764e+04,4.02499594285704561e+01,1.00000000000000004e-10,0.00000000000000000e+00,2.92788224138379082e+04,2.58270186948499292e-01,7.14862846829701137e+00,-3.45981843738551342e+00,-3.45981843738551342e+00,1.00000000000000004e-10,0.00000000000000000e+00,1.00000000000005446e+03,4.02499594274580943e+01,4.02499996774197134e+04,1,1.00000000000000000e+00,unitarity,check_unitarity_false,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,-7.80093946464921828e+01,7.80093946464921828e+01,7.80093946464921828e+01,7.80093946464921828e+01,4.00245899813667387e-09,1.78730579934482550e-10,0.00000000000000000e+00,4.24586513431126562e-10,0.00000000000000000e+00,0.00000000000000000e+00,1.39292099665384630e-06,6.65573156314863174e-07,1.39477068452296658e-09,0.00000000000000000e+00,2.06449765563207966e-06,2.95588734475297479e-12,1.93870842488859862e-03,8.65733993191487915e-05,0.00000000000000000e+00,2.05660932708171310e-04,0.00000000000000000e+00,0.00000000000000000e+00,6.74702145024902333e-01,3.22389882351833967e-01,6.75598095603520887e-04,0.00000000000000000e+00,1.00000000000000000e+00,9.55811113961207874e-08
dihiggs.point.v2,DihiggsPointV2Evaluator,f7cce2aecfafb5f8e25f26ae0b917adcf5894989,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_tanbeta_perturbation,point_168ad178689f9cad,1,1.00000000000000000e+00,1.25129999999999995e+02,2.05000000000000000e+02,5.00000000000000000e+02,5.00000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+03,1.56979632712822981e+00,4.04999997856880509e+04,4.04999592857265611e+01,1.00000000000000004e-10,0.00000000000000000e+00,2.51550799644409162e+04,2.58270182824756889e-01,7.14450472584761442e+00,-3.45569469493611692e+00,-3.45569469493611692e+00,1.00000000000000004e-10,0.00000000000000000e+00,1.00000000000005446e+03,4.04999592865373614e+01,4.04999997864988545e+04,1,1.00000000000000000e+00,unitarity,check_unitarity_false,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,-7.59786942212859913e+01,7.59786942212859913e+01,7.59786942212859913e+01,7.59786942212859913e+01,4.00245899813667387e-09,1.78730579934482550e-10,0.00000000000000000e+00,4.24586513431126562e-10,0.00000000000000000e+00,0.00000000000000000e+00,1.02766640055047190e-06,4.91147032141321923e-07,1.39477068452296658e-09,0.00000000000000000e+00,1.52481693535516379e-06,2.95588734475297479e-12,2.62487837414031094e-03,1.17214450987752330e-04,0.00000000000000000e+00,2.78450811757432993e-04,0.00000000000000000e+00,0.00000000000000000e+00,6.73960510748856212e-01,3.22102293562815667e-01,9.14713531954636531e-04,0.00000000000000000e+00,1.00000000000000000e+00,1.29410275964726333e-07
dihiggs.point.v2,DihiggsPointV2Evaluator,f7cce2aecfafb5f8e25f26ae0b917adcf5894989,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_tanbeta_perturbation,point_2ed4da73261b7d60,1,1.00000000000000000e+00,1.25129999999999995e+02,2.05000000000000000e+02,5.00000000000000000e+02,5.00000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+03,1.56979632712822981e+00,4.07499998928440255e+04,4.07499591428826591e+01,1.00000000000000004e-10,0.00000000000000000e+00,2.10313375150439242e+04,2.58270178701014430e-01,7.14038098339821925e+00,-3.45157095248672041e+00,-3.45157095248672041e+00,1.00000000000000004e-10,0.00000000000000000e+00,1.00000000000005446e+03,4.07499591419786498e+01,4.07499998919400095e+04,1,1.00000000000000000e+00,unitarity,check_unitarity_false,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,-7.39479937960805955e+01,7.39479937960805955e+01,7.39479937960805955e+01,7.39479937960805955e+01,4.00245899813667387e-09,1.78730579934482550e-10,0.00000000000000000e+00,4.24586513431126562e-10,0.00000000000000000e+00,0.00000000000000000e+00,7.17844262504276489e-07,3.43174514839153355e-07,1.39477068452296658e-09,0.00000000000000000e+00,1.06702228000680003e-06,2.95588734517649126e-12,3.75105475596176560e-03,1.67504074922731255e-04,0.00000000000000000e+00,3.97917195720056283e-04,0.00000000000000000e+00,0.00000000000000000e+00,6.72754708083229236e-01,3.21618883943985079e-01,1.30716172535223709e-03,0.00000000000000000e+00,1.00000000000000000e+00,1.84932389976657721e-07
dihiggs.point.v2,DihiggsPointV2Evaluator,f7cce2aecfafb5f8e25f26ae0b917adcf5894989,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_tanbeta_perturbation,point_b0db49e38d814689,1,1.00000000000000000e+00,1.25129999999999995e+02,2.05000000000000000e+02,5.00000000000000000e+02,5.00000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+03,1.56979632712822981e+00,4.10000000000000000e+04,4.09999590000387713e+01,1.00000000000000004e-10,0.00000000000000000e+00,1.69075950656468121e+04,2.58270174577272027e-01,7.13625724094882141e+00,-3.44744721003732302e+00,-3.44744721003732302e+00,1.00000000000000004e-10,0.00000000000000000e+00,1.00000000000005446e+03,4.09999590010579169e+01,4.10000000010191507e+04,1,1.00000000000000000e+00,unitarity,check_unitarity_false,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,-7.19172933708747451e+01,7.19172933708747451e+01,7.19172933708747451e+01,7.19172933708747451e+01,4.00245899813667387e-09,1.78730579934482550e-10,0.00000000000000000e+00,4.24586513431126562e-10,0.00000000000000000e+00,0.00000000000000000e+00,4.63454582515252612e-07,2.21655604408354507e-07,1.39477068452296658e-09,0.00000000000000000e+00,6.91113689586977250e-07,2.95588734485885391e-12,5.79131777946493859e-03,2.58612414465839006e-04,0.00000000000000000e+00,6.14351183934538458e-04,0.00000000000000000e+00,0.00000000000000000e+00,6.70590945452436249e-01,3.20722346768764099e-01,2.01814940947922516e-03,0.00000000000000000e+00,1.00000000000000000e+00,2.85520289024988605e-07
