m_phi,mA,alpha,beta,lambda6,lambda7,m12,sin_ba,tan_beta,positivity_ok,unitarity_ok,perturbativity_ok,width_h2_bb,width_h2_tautau,width_h2_WW,width_h2_ZZ,width_h2_gaga,total_width_h2,branching_ratio_h2_gaga
125.0,305.0,0.0001,-1.57089633,-5.0,-5.0,-10.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,166741242.80164987,182680520.9162016,0.912747795798856
150.0,180.0,0.0001,-1.57089633,-5.0,-5.0,-10.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,2768060536.2829084,3431095730.1600814,0.806757011164408
125.0,130.0,0.0001,-1.57089633,-5.0,-5.0,-10.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,6331421562.472867,6975286129.526535,0.907693454419285
125.0,355.0,0.0001,-1.57089633,-5.0,-5.0,-10.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,89761690.39789857,98314585.88453522,0.913004816023113
150.0,280.0,0.0001,-1.57089633,-5.0,-5.0,-10.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,419328570.8841776,517540277.2489245,0.81023369449271
125.0,205.0,0.0001,-1.57089633,-5.0,-5.0,-10.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,865182148.1867648,949175418.1173517,0.911509223345476
150.0,130.0,0.0001,-1.57089633,-5.0,-5.0,-10.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,12570106682.1661,15704547940.124771,0.800411876234257
150.0,330.0,0.0001,-1.57089633,-5.0,-5.0,-10.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,212503556.76639327,262066757.44267285,0.810875667101267
125.0,230.0,0.0001,-1.57089633,-5.0,-5.0,-10.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,534271979.024844,585835407.8807527,0.911983078929219
150.0,205.0,0.0001,-1.57089633,-5.0,-5.0,-10.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,1568129191.7197595,1940367864.7213173,0.808160772104407
150.0,380.0,0.0001,-1.57089633,-5.0,-5.0,-10.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,119178119.54484037,146902330.58116955,0.811274532360054
125.0,155.0,0.0001,-1.57089633,-5.0,-5.0,-10.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,2874366204.4564996,3159763523.511984,0.90967763349003
125.0,330.0,0.0001,-1.57089633,-5.0,-5.0,-10.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,120855127.78576349,132387203.45490466,0.91289131148488
150.0,255.0,0.0001,-1.57089633,-5.0,-5.0,-10.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,619866677.1490381,765500428.4494584,0.809753533913227
125.0,255.0,0.0001,-1.57089633,-5.0,-5.0,-10.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,348172165.94068575,381634894.3295664,0.912317429862733
125.0,380.0,0.0001,-1.57089633,-5.0,-5.0,-10.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,68077248.88351846,74556493.90001523,0.913096168052298
150.0,305.0,0.0001,-1.57089633,-5.0,-5.0,-10.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,294094377.38376886,362812649.94592816,0.810595709459412
125.0,280.0,0.0001,-1.57089633,-5.0,-5.0,-10.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,236793257.88639063,259481674.27935213,0.912562548180047
150.0,230.0,0.0001,-1.57089633,-5.0,-5.0,-10.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,958203585.8436093,1184288489.7861884,0.809096427186085
125.0,180.0,0.0001,-1.57089633,-5.0,-5.0,-10.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,1502980994.8982368,1650170724.4834905,0.910803332405909
150.0,155.0,0.0001,-1.57089633,-5.0,-5.0,-10.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,5434699054.5024605,6755441125.295841,0.804492105504725
150.0,355.0,0.0001,-1.57089633,-5.0,-5.0,-10.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,157446984.05844873,194116151.2483986,0.811096773997819
125.0,180.0,0.0001,-1.57089633,-5.0,-5.0,-6.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,1503060346.0564156,1650257852.9221168,0.910803328943378
150.0,230.0,0.0001,-1.57089633,-5.0,-5.0,-6.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,958254168.9298168,1184351008.1456592,0.809096426936941
125.0,130.0,0.0001,-1.57089633,-5.0,-5.0,-6.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,6331755757.8295355,6975654337.374449,0.907693450907536
125.0,380.0,0.0001,-1.57089633,-5.0,-5.0,-6.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,68080843.70246951,74560431.13316815,0.913096164651653
150.0,255.0,0.0001,-1.57089633,-5.0,-5.0,-6.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,619899399.7020607,765540839.1970049,0.809753533661625
125.0,280.0,0.0001,-1.57089633,-5.0,-5.0,-6.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,236805761.2440092,259495376.62137848,0.912562544763659
125.0,330.0,0.0001,-1.57089633,-5.0,-5.0,-6.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,120861509.43977629,132394194.54452732,0.912891308078676
150.0,280.0,0.0001,-1.57089633,-5.0,-5.0,-6.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,419350707.1321537,517567598.2266392,0.81023369424398
125.0,305.0,0.0001,-1.57089633,-5.0,-5.0,-6.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,166750047.33772427,182690167.78590888,0.912747792388781
150.0,155.0,0.0001,-1.57089633,-5.0,-5.0,-6.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,5434985944.293294,6755797737.22744,0.804492105254145
150.0,305.0,0.0001,-1.57089633,-5.0,-5.0,-6.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,294109902.57516146,362831802.87430894,0.810595709210877
125.0,155.0,0.0001,-1.57089633,-5.0,-5.0,-6.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,2874517946.3623977,3159930344.0686297,0.90967763000157
125.0,355.0,0.0001,-1.57089633,-5.0,-5.0,-6.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,89766430.23082826,98319777.71656738,0.913004812618714
150.0,355.0,0.0001,-1.57089633,-5.0,-5.0,-6.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,157455295.67621806,194126398.68955863,0.811096773746965
