Unnamed: 0,m_phi,mA,alpha,beta,lambda6,lambda7,m12,positivity_ok,unitarity_ok,perturbativity_ok,w_h2_bb,w_h2_tautau,w_h2_WW,w_h2_ZZ,w_h2_gaga,w_h2_Zga,w_h2_gg,w_h2_hh,w_total_h2,branching_ratio_h2_gaga
0,125,320.0,-0.7,0.5,-0.5727,-1.0,-1.0,1,1,1,0.0,0.0,1.766544389144491e-06,1.38493908310479e-05,1.766544389144491e-06,8.769150961363445e-07,0.0,0.0,0.0001273620612621,0.0138702559587867
1,125,320.0,-0.7,0.5,-0.5727,-1.0,-0.565727,1,1,1,0.0,0.0,1.766543388354651e-06,1.384939083104773e-05,1.766543388354651e-06,8.769148782520083e-07,0.0,0.0,0.0001273620600434,0.0138702482336722
2,125,320.0,-0.7,0.5,-0.5727,-1.0,-0.131454,1,1,1,0.0,0.0,1.766542387565101e-06,1.384939083104787e-05,1.766542387565101e-06,8.769146603677105e-07,0.0,0.0,0.0001273620588247,0.0138702405085595
3,125,320.0,-0.7,0.5,-0.5727,-1.0,0.302819,1,1,1,0.0,0.0,1.766541386775824e-06,1.384939083104777e-05,1.766541386775824e-06,8.7691444248342e-07,0.0,0.0,0.0001273620576061,0.013870232783449
4,125,320.0,-0.7,0.5,-0.5727,-1.0,0.737092,1,1,1,0.0,0.0,1.766540385986848e-06,1.384939083104806e-05,1.766540385986848e-06,8.7691422459918e-07,0.0,0.0,0.0001273620563874,0.0138702250583403
5,125,320.0,-0.7,0.5,-0.5727,-1.0,1.171365,1,1,1,0.0,0.0,1.766539385198141e-06,1.384939083104787e-05,1.766539385198141e-06,8.769140067149558e-07,0.0,0.0,0.0001273620551687,0.013870217333234
6,125,320.0,-0.7,0.5,-0.5727,-0.5727,-1.0,1,1,1,0.0,0.0,1.734504238200584e-06,1.384939083104785e-05,1.734504238200584e-06,8.699216392384866e-07,0.0,0.0,0.0001273230276542,0.0136228635947152
7,125,320.0,-0.7,0.5,-0.5727,-0.5727,-0.565727,1,1,1,0.0,0.0,1.734503246528028e-06,1.384939083104767e-05,1.734503246528028e-06,8.699214222247027e-07,0.0,0.0,0.0001273230264456,0.0136228559354033
8,125,320.0,-0.7,0.5,-0.5727,-0.5727,-0.131454,1,1,1,0.0,0.0,1.73450225485577e-06,1.384939083104787e-05,1.73450225485577e-06,8.699212052109613e-07,0.0,0.0,0.0001273230252369,0.0136228482760933
9,125,320.0,-0.7,0.5,-0.5727,-0.5727,0.302819,1,1,1,0.0,0.0,1.734501263183788e-06,1.384939083104775e-05,1.734501263183788e-06,8.699209881972493e-07,0.0,0.0,0.0001273230240282,0.0136228406167855
10,125,320.0,-0.7,0.5,-0.5727,-0.5727,0.737092,1,1,1,0.0,0.0,1.7345002715121e-06,1.384939083104803e-05,1.7345002715121e-06,8.699207711835645e-07,0.0,0.0,0.0001273230228195,0.0136228329574795
11,125,320.0,-0.7,0.5,-0.5727,-0.5727,1.171365,1,1,1,0.0,0.0,1.734499279840675e-06,1.384939083104785e-05,1.734499279840675e-06,8.699205541698955e-07,0.0,0.0,0.0001273230216108,0.0136228252981758
12,125,320.0,-0.7,0.5,-0.1454,-1.0,-1.0,1,1,1,0.0,0.0,1.876038131657772e-06,1.384939083104775e-05,1.876038131657772e-06,9.005520465823109e-07,0.0,0.0,0.000127495191955,0.0147145794511102
13,125,320.0,-0.7,0.5,-0.1454,-1.0,-0.565727,1,1,1,0.0,0.0,1.876037100318771e-06,1.384939083104782e-05,1.876037100318771e-06,9.005518257810081e-07,0.0,0.0,0.0001274951907029,0.0147145715063847
14,125,320.0,-0.7,0.5,-0.1454,-1.0,-0.131454,1,1,1,0.0,0.0,1.876036068980049e-06,1.384939083104773e-05,1.876036068980049e-06,9.0055160497972e-07,0.0,0.0,0.0001274951894508,0.0147145635616614
15,125,320.0,-0.7,0.5,-0.1454,-1.0,0.302819,1,1,1,0.0,0.0,1.876035037641618e-06,1.384939083104785e-05,1.876035037641618e-06,9.005513841784759e-07,0.0,0.0,0.0001274951881986,0.01471455561694
16,125,320.0,-0.7,0.5,-0.1454,-1.0,0.737092,1,1,1,0.0,0.0,1.876034006303472e-06,1.384939083104797e-05,1.876034006303472e-06,9.005511633772602e-07,0.0,0.0,0.0001274951869465,0.0147145476722205
17,125,320.0,-0.7,0.5,-0.1454,-1.0,1.171365,1,1,1,0.0,0.0,1.876032974965598e-06,1.384939083104785e-05,1.876032974965598e-06,9.005509425760528e-07,0.0,0.0,0.0001274951856943,0.0147145397275033
18,125,320.0,-0.7,0.5,-0.1454,-0.5727,-1.0,1,1,1,0.0,0.0,1.843015478137902e-06,1.384939083104777e-05,1.843015478137902e-06,8.934647758538887e-07,0.0,0.0,0.0001274550820308,0.0144601176255324
19,125,320.0,-0.7,0.5,-0.1454,-0.5727,-0.565727,1,1,1,0.0,0.0,1.843014455916191e-06,1.384939083104785e-05,1.843014455916191e-06,8.93464555923149e-07,0.0,0.0,0.0001274550807886,0.014460109746207
20,125,320.0,-0.7,0.5,-0.1454,-0.5727,-0.131454,1,1,1,0.0,0.0,1.843013433694758e-06,1.384939083104777e-05,1.843013433694758e-06,8.934643359924233e-07,0.0,0.0,0.0001274550795465,0.0144601018668838
21,125,320.0,-0.7,0.5,-0.1454,-0.5727,0.302819,1,1,1,0.0,0.0,1.843012411473614e-06,1.384939083104785e-05,1.843012411473614e-06,8.934641160617321e-07,0.0,0.0,0.0001274550783043,0.0144600939875625
22,125,320.0,-0.7,0.5,-0.1454,-0.5727,0.737092,1,1,1,0.0,0.0,1.843011389252757e-06,1.384939083104797e-05,1.843011389252757e-06,8.934638961310825e-07,0.0,0.0,0.0001274550770622,0.0144600861082433
23,125,320.0,-0.7,0.5,-0.1454,-0.5727,1.171365,1,1,1,0.0,0.0,1.84301036703217e-06,1.38493908310478e-05,1.84301036703217e-06,8.93463676200434e-07,0.0,0.0,0.00012745507582,0.0144600782289262
24,125,320.0,-0.7,0.5,-0.1454,-0.1454,-1.0,1,1,1,0.0,0.0,1.810286048985045e-06,1.384939083104773e-05,1.810286048985045e-06,8.86405503526444e-07,0.0,0.0,0.0001274152933293,0.0142077611068674
25,125,320.0,-0.7,0.5,-0.1454,-0.1454,-0.565727,1,1,1,0.0,0.0,1.810285035880624e-06,1.384939083104782e-05,1.810285035880624e-06,8.864052844662681e-07,0.0,0.0,0.0001274152920972,0.0142077532930633
26,125,320.0,-0.7,0.5,-0.1454,-0.1454,-0.131454,1,1,1,0.0,0.0,1.810284022776479e-06,1.384939083104773e-05,1.810284022776479e-06,8.864050654060995e-07,0.0,0.0,0.000127415290865,0.0142077454792613
27,125,320.0,-0.7,0.5,-0.1454,-0.1454,0.302819,1,1,1,0.0,0.0,1.810283009672627e-06,1.38493908310479e-05,1.810283009672627e-06,8.864048463459728e-07,0.0,0.0,0.0001274152896328,0.0142077376654613
28,125,320.0,-0.7,0.5,-0.1454,-0.1454,0.737092,1,1,1,0.0,0.0,1.810281996569055e-06,1.384939083104795e-05,1.810281996569055e-06,8.864046272858731e-07,0.0,0.0,0.0001274152884007,0.0142077298516633
29,125,320.0,-0.7,0.5,-0.1454,-0.1454,1.171365,1,1,1,0.0,0.0,1.810280983465755e-06,1.384939083104773e-05,1.810280983465755e-06,8.864044082257861e-07,0.0,0.0,0.0001274152871685,0.0142077220378676
30,125,320.0,-0.7,0.674533,-1.0,-0.5727,-1.0,1,1,1,0.0,0.0,4.754554076212586e-07,4.010979552731017e-06,4.754554076212586e-07,2.46013370734964e-07,0.0,0.0,3.68417406137575e-05,0.0129053459391577
31,125,320.0,-0.7,0.674533,-1.0,-0.5727,-0.565727,1,1,1,0.0,0.0,4.754553581055549e-07,4.010979552730988e-06,4.754553581055549e-07,2.460133597288464e-07,0.0,0.0,3.684174055323546e-05,0.0129053446163471
32,125,320.0,-0.7,0.674533,-1.0,-0.5727,-0.131454,1,1,1,0.0,0.0,4.754553085898575e-07,4.010979552731067e-06,4.754553085898575e-07,2.460133487227347e-07,0.0,0.0,3.684174049271429e-05,0.0129053432935363
33,125,320.0,-0.7,0.674533,-1.0,-0.5727,0.302819,1,1,1,0.0,0.0,4.754552590741583e-07,4.010979552731017e-06,4.754552590741583e-07,2.460133377166234e-07,0.0,0.0,3.684174043219207e-05,0.0129053419707259
34,125,320.0,-0.7,0.674533,-1.0,-0.5727,0.737092,1,1,1,0.0,0.0,4.754552095584659e-07,4.010979552731044e-06,4.754552095584659e-07,2.460133267105062e-07,0.0,0.0,3.68417403716705e-05,0.0129053406479154
35,125,320.0,-0.7,0.674533,-1.0,-0.5727,1.171365,1,1,1,0.0,0.0,4.754551600427709e-07,4.01097955273101e-06,4.754551600427709e-07,2.460133157043968e-07,0.0,0.0,3.684174031114841e-05,0.012905339325105
36,125,320.0,-0.7,0.674533,-0.5727,-1.0,-1.0,1,1,1,0.0,0.0,5.340397272232232e-07,4.01097955273103e-06,5.340397272232232e-07,2.588194973942913e-07,0.0,0.0,3.691313106001891e-05,0.0144674730072315
37,125,320.0,-0.7,0.674533,-0.5727,-1.0,-0.565727,1,1,1,0.0,0.0,5.340396747455175e-07,4.010979552731025e-06,5.340396747455175e-07,2.58819486105351e-07,0.0,0.0,3.691313099625222e-05,0.0144674716105696
38,125,320.0,-0.7,0.674533,-0.5727,-1.0,-0.131454,1,1,1,0.0,0.0,5.340396222678169e-07,4.010979552731053e-06,5.340396222678169e-07,2.588194748164115e-07,0.0,0.0,3.69131309324858e-05,0.0144674702139078
39,125,320.0,-0.7,0.674533,-0.5727,-1.0,0.302819,1,1,1,0.0,0.0,5.340395697901158e-07,4.010979552731025e-06,5.340395697901158e-07,2.588194635274727e-07,0.0,0.0,3.691313086871895e-05,0.0144674688172461
40,125,320.0,-0.7,0.674533,-0.5727,-1.0,0.737092,1,1,1,0.0,0.0,5.340395173124186e-07,4.01097955273103e-06,5.340395173124186e-07,2.588194522385356e-07,0.0,0.0,3.691313080495236e-05,0.0144674674205844
41,125,320.0,-0.7,0.674533,-0.5727,-1.0,1.171365,1,1,1,0.0,0.0,5.340394648347245e-07,4.010979552731044e-06,5.340394648347245e-07,2.588194409495956e-07,0.0,0.0,3.691313074118585e-05,0.0144674660239227
42,125,320.0,-0.7,0.674533,-0.5727,-0.5727,-1.0,1,1,1,0.0,0.0,5.107846707235146e-07,4.010979552730994e-06,5.107846707235146e-07,2.537859333694269e-07,0.0,0.0,3.688484243949406e-05,0.0138480914365136
43,125,320.0,-0.7,0.674533,-0.5727,-0.5727,-0.565727,1,1,1,0.0,0.0,5.107846194011128e-07,4.01097955273101e-06,5.107846194011128e-07,2.537859221908022e-07,0.0,0.0,3.688484237699315e-05,0.0138480900685565
44,125,320.0,-0.7,0.674533,-0.5727,-0.5727,-0.131454,1,1,1,0.0,0.0,5.107845680787129e-07,4.01097955273101e-06,5.107845680787129e-07,2.537859110121767e-07,0.0,0.0,3.688484231449213e-05,0.0138480887005995
