,m_phi,mA,sin_ba,tan_beta,lambda6,lambda7,m12,total_width_h2,branching_ratio_h2_gaga
0,125.00001694815052,499.97891811046884,1.5092503035680134e-07,66354.90508677172,0.00632859250368617,2.981646584042991e-06,0.007438174473751974,5.673935427320338e-05,0.01473521827403703
1,125.00000047298008,108.6474886415115,7.824402562017532e-08,66354.90508677172,5.4042632528685715e-06,1.8131805814661701e-06,0.008958211935318205,6.073367193706665e-05,0.02862740591785642
2,125.00000042584114,121.6930905840122,7.82573243627346e-08,66354.90508677172,1.5391103830294245e-05,1.1039167836395236e-06,0.008430665890212675,5.751936587973518e-05,0.02579488392866513
3,125.00012854065825,108.96807572237694,3.555714671193088e-08,66354.90508677172,5.540813346850107e-05,2.3078829193230714e-06,0.00809258207989735,6.045942665196853e-05,0.02862405168638323
4,125.00002968436333,111.72373138316993,1.251109560277534e-08,66354.90508677172,2.322343147258374e-05,1.8437736459999326e-06,0.004958184659926684,5.879744499069908e-05,0.02833341512533351
5,125.0000038383342,111.02995134000014,5.1092855515948676e-09,66354.90508677172,0.00016086838828668985,1.5415306318721835e-06,0.008506591137471407,5.911316242597886e-05,0.02844402618596921
6,125.00002859363988,109.77150693473875,6.684172572427823e-09,66354.90508677172,1.764668927060002e-05,2.181996078948563e-06,0.006341945794980541,5.985304139136292e-05,0.02858600893347226
7,125.00000000646159,112.24170985376162,1.8882458722700042e-08,66354.90508677172,0.005066912286795908,2.4398701216569376e-06,0.007113424218534298,5.859371281928041e-05,0.02818712334836802
8,125.00003124585824,110.19474795426366,7.628700676493307e-08,66354.90508677172,0.0001636515390473839,2.2120234211259804e-06,0.007952665790757617,5.957786455240319e-05,0.02854730216481299
9,125.00000070631337,129.386013538702,7.82573243627346e-08,66354.90508677172,1.5342113887503245e-05,1.9607719128176016e-06,0.008967970678387064,5.739722607471387e-05,0.02407655440206186
10,125.00001601518,112.93889620301499,7.089548916050844e-08,66354.90508677172,3.788294848418907e-05,2.0823720675703473e-06,0.007112384871966035,5.837063629069858e-05,0.02809127183539655
