m_phi,mA,alpha,beta,lambda6,lambda7,m12,positivty,unitarity,perturbativity,w_h2_bb,w_h2_tautau,w_h2_WW,w_h2_ZZ,w_h2_gaga,w_h2_Zga,w_h2_gg,w_h2_hh,w_total_h2,branching_ratio_h2_gaga
125.0,300.0,0.001,1.55,-20.0,-20.0,0.0,0,0,0,0.0,0.0,,,1.523570619513608,0.1457274512094689,0.0,0.0,1.669298521907357,0.9127011133831003
125.0,300.0,0.001,1.55,-20.0,-20.0,10.0,0,0,0,0.0,0.0,,,1.523620951696946,0.1457322650161076,0.0,0.0,1.669353667897334,0.9127011136088689
125.0,300.0,0.001,1.55,-20.0,-20.0,20.0,0,0,0,0.0,0.0,,,1.523671284707764,0.1457370789008217,0.0,0.0,1.669408814792865,0.9127011138352088
125.0,300.0,0.001,1.55,-20.0,0.0,0.0,1,0,0,0.0,0.0,,,1.244536153825292e-06,9.821308407170987e-08,0.0,0.0,1.793933517617285e-06,0.6937470879513384
125.0,300.0,0.001,1.55,-20.0,0.0,10.0,1,0,0,0.0,0.0,,,1.19946197300299e-06,9.430100029967457e-08,0.0,0.0,1.744947253022964e-06,0.6873915362914436
125.0,300.0,0.001,1.55,-20.0,0.0,20.0,1,0,0,0.0,0.0,,,1.155219157207365e-06,9.046842229347395e-08,0.0,0.0,1.696871859220316e-06,0.6807933969381571
125.0,300.0,0.001,1.55,-20.0,20.0,0.0,0,0,0,0.0,0.0,,,1.529083611773649,0.1462063808717485,0.0,0.0,1.675290443829678,0.9127274720663943
125.0,300.0,0.001,1.55,-20.0,20.0,10.0,0,0,0,0.0,0.0,,,1.529033189443385,0.1462015592415448,0.0,0.0,1.67523519986921,0.9127274722753922
125.0,300.0,0.001,1.55,-20.0,20.0,20.0,0,0,0,0.0,0.0,,,1.528982767945083,0.1461967376909433,0.0,0.0,1.675179956820306,0.9127274724843755
125.0,300.0,0.001,1.55,0.0,-20.0,0.0,0,0,0,0.0,0.0,,,1.524890326257236,0.1458536689080012,0.0,0.0,1.670744446349517,0.9127011193058495
125.0,300.0,0.001,1.55,0.0,-20.0,10.0,0,0,0,0.0,0.0,,,1.524940680231387,0.145858484797672,0.0,0.0,1.670799616213339,0.9127011195319024
125.0,300.0,0.001,1.55,0.0,-20.0,20.0,0,0,0,0.0,0.0,,,1.524991035037456,0.1458633007671786,0.0,0.0,1.670854786988914,0.9127011197577961
125.0,300.0,0.001,1.55,0.0,0.0,0.0,1,0,0,0.0,0.0,,,3.376996258102382e-07,2.193588045759112e-08,0.0,0.0,8.108197859872678e-07,0.4164915948604405
125.0,300.0,0.001,1.55,0.0,0.0,10.0,1,0,0,0.0,0.0,,,3.144192471094202e-07,2.010799902024567e-08,0.0,0.0,7.857115258491252e-07,0.4001713564906976
125.0,300.0,0.001,1.55,0.0,0.0,20.0,1,0,0,0.0,0.0,,,2.919702334356021e-07,1.835962334882708e-08,0.0,0.0,7.615141365039034e-07,0.3834075028154196
125.0,300.0,0.001,1.55,0.0,20.0,0.0,0,0,0,0.0,0.0,,,1.527762091358186,0.1460800106193047,0.0,0.0,1.67384255316177,0.9127274775470078
