m_phi,mA,alpha,beta,lambda6,lambda7,m12,sin_ba,tan_beta,positivity_ok,unitarity_ok,perturbativity_ok,width_h2_bb,width_h2_tautau,width_h2_WW,width_h2_ZZ,width_h2_gaga,total_width_h2,branching_ratio_h2_gaga
183.88512,148.9655563,2.06e-05,-1.571342013,-17.864335847,-9.30599401,10.56665,-0.999999839659971,1832.554848170972,0.0,0.0,0.0,0.0,0.0,2.0486128e-07,3.1058764e-08,56354517.10292155,79967129.81184053,0.704721017692163
197.198,180.4521,-0.0005,-1.57189633,-10.0,-5.0,-10.0,-0.999999819998082,909.0878935851323,0.0,0.0,0.0,0.0,0.0,3.37942945e-07,1.1227484e-07,500389.0722751668,733049.5285505955,0.682612910569016
251.57,225.0,0.0501,1.580691896318,-50.0,50.0,10.4,0.999191910743181,-101.05202703966292,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0
263.908,452.7126,0.0001,1.57069189633,-50.0,0.1,-29.6916,0.999999979104093,9575.749733138446,1.0,0.0,0.0,0.0,0.0,1.42763278e-07,6.1433991e-08,116921.78797135677,190811.004036069,0.612762290948666
220.62582,212.1840773,0.0002859,-1.571342013,-13.728671694,-17.76866467,-2.373340000000001,-0.999999654232212,1832.554848170972,0.0,0.0,0.0,0.0,0.0,1.104185358e-06,4.40598206e-07,73588991.03513509,113278998.34792551,0.649626074633125
276.884,150.0,0.0601,1.5506918963,10.424589999999997,-50.0,10.4,0.996785348473213,49.7335782402837,0.0,0.0,0.0,0.0,0.0,0.026576334275915,0.011580585643256,8644.151072018105,1334020.963884935,0.006479771537356
302.198,225.0,0.0601,1.570691896312,10.424589999999997,50.0,-9.8,0.998188260606179,9575.74808262481,1.0,0.0,0.0,0.0,0.0,0.021065959352408,0.009364502485652,1151673873257.4404,694358577766396.5,0.001658615462003
279.71000000000004,180.4521,-0.0005,-1.57189633,-10.0,-5.0,-10.0,-0.999999819998082,909.0878935851323,0.0,0.0,0.0,0.0,0.0,1.551586223e-06,6.77783983e-07,2369280.747680235,3997537.477121047,0.592685062051388
215.338,400.0,0.0001,1.5706918963,10.28306,0.1,25.000000000000007,0.999999979104086,9575.746982289491,1.0,0.0,0.0,0.0,0.0,5.9793414e-08,2.3382765e-08,98960.33963104415,149667.02113111428,0.661203375888339
264.71466,250.1151899,2.06e-05,-1.571896334,-22.0,-9.30599401,6.253319999999999,-0.999999372119812,909.0845878298701,0.0,0.0,0.0,0.0,0.0,4.343062646e-06,1.870481466e-06,1107733.4460426592,1819716.3203502344,0.608739633565224
375.0,330.0,0.0001,-1.57009633,3.0,-5.0,-6.0,-0.999999820001928,-1428.5777362967215,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0
350.0,375.0,0.0901,1.560691896306,-50.0,-30.0,-9.8,0.994983735492475,98.96311995964048,0.0,0.0,0.0,0.0,0.0,0.100546419718674,0.045945313405738,672.7633152935875,23194643.776458286,2.9005115223e-05
125.0,375.0,0.0701,1.555691896303,-29.85847,-30.0,-30.0,0.996372298006883,66.20070524602721,0.0,0.0,0.0,0.0,0.0,6.11517621e-06,7.63886246e-07,4.93109176756878,5.400683484788041,0.913049576309749
272.0628,193.218521,0.0002859,-1.571896334,-17.864335847,-9.30599401,-2.373340000000001,-0.999999039630763,909.0845878298701,0.0,0.0,0.0,0.0,0.0,7.415615623e-06,3.217062909e-06,4706699.792601937,7850637.81795304,0.599530879113865
175.628,300.0,0.0301,1.560691896306,-50.0,10.0,-9.8,0.999191910742699,98.96311995964048,0.0,0.0,0.0,0.0,0.0,0.000752853631094,2.7564285325e-05,19.945143849705044,27.19270630855169,0.73347402878516
341.594,180.4521,-0.0005,-1.57189633,-10.0,-5.0,-10.0,-0.999999819998082,909.0878935851323,0.0,0.0,0.0,0.0,0.0,3.310775625e-06,1.506660212e-06,10591309.98307812,,0.0
400.628,450.0,0.0201,1.5506918963,30.56612,-30.0,10.4,0.999191910742458,49.7335782402837,0.0,0.0,0.0,0.0,0.0,0.026224428010389,0.012226146644801,30.45174066852368,38032.57082359576,0.000800675316159
279.41094,136.3218521,2.06e-05,-1.571896334,-22.0,-17.76866467,-6.68667,-0.999999372119812,909.0845878298701,0.0,0.0,0.0,0.0,0.0,5.389419266e-06,2.353664845e-06,670928334.0994859,76331418017580.62,8.789674704e-06
338.19606,262.7588941,0.0002859,-1.571896334,-13.728671694,-17.76866467,-6.68667,-0.999999039630763,909.0845878298701,0.0,0.0,0.0,0.0,0.0,1.7029368249e-05,7.736193608e-06,8414672.002615487,14709213.378872095,0.572068117164041
